"method","family","backend","neighborhood","iterations_or_epochs","early_exaggeration","learning_rate","initialization","distance_metric","thread_or_device","knn_precomputed","knn_source","timing_scope"
"fastEmbedR_opentsne_cpu_full","t-SNE","cpu","perplexity=30;k=30","250 early + 500 normal","12 for 250 iterations","n/12","native randomized PCA, 2 components","euclidean","4 CPU threads","no","package-native HNSW, target recall 0.99","full R public-function time"
"fastEmbedR_opentsne_cuda_full","t-SNE","cuda","perplexity=30;k=30","250 early + 500 normal","12 for 250 iterations","n/12","RAFT TSVD PCA, 2 components","euclidean","1 CUDA device","no","package-native CUDA exact/recall-tuned IVF-Flat auto route, target recall 0.99","full R public-function time"
"Rtsne_full","t-SNE","cpu","perplexity=30","750","12 for first 250 iterations","eta=200","PCA preprocessing to 50 dimensions; random 2-D layout","euclidean","4 CPU threads","no","Rtsne internal VP-tree","full R public-function time"
"KlugerLab_FItSNE","t-SNE","cpu","perplexity=30","750","12 for first 250 iterations","automatic","PCA","euclidean","4 CPU threads","no","Annoy, 50 trees, default search_k","full R wrapper/executable time"
"python_opentsne_fft","t-SNE","cpu","perplexity=30","250 early + 500 normal","Python openTSNE default","Python openTSNE automatic/default","Python openTSNE PCA","euclidean","4 CPU threads","no","Python openTSNE internal affinity/search","reticulate full-call time"
"python_opentsne_fft_direct","t-SNE","cpu","perplexity=30","250 early + 500 normal","Python openTSNE default","Python openTSNE automatic/default","Python openTSNE PCA","euclidean","4 CPU threads","no","Python openTSNE internal affinity/search","Python-side fit time; process startup/loading separate"
"rapids_cuml_tsne_full","t-SNE","cuda","perplexity=30;internal neighbors>=91 where supported","RAPIDS cuML defaults","RAPIDS cuML default","RAPIDS cuML default","RAPIDS cuML default","euclidean","1 CUDA device","no","RAPIDS cuML internal GPU affinities","reticulate full-call time"
"rapids_cuml_tsne_full_direct","t-SNE","cuda","perplexity=30;internal neighbors>=91 where supported","RAPIDS cuML defaults","RAPIDS cuML default","RAPIDS cuML default","RAPIDS cuML default","euclidean","1 CUDA device","no","RAPIDS cuML internal GPU affinities","Python-side fit time; process startup/loading separate"
"fastEmbedR_umap_cpu_fuzzy_full","UMAP","cpu","k=30","500 if n<10000;200 otherwise;300 for high-variability profile","not used","1;1.25 for predeclared wide-shell profile","spectral","euclidean","4 CPU threads","no","package-native HNSW, target recall 0.99","full R public-function time"
"fastEmbedR_umap_cpu_binary_full","UMAP","cpu","k=30","500 if n<10000;200 otherwise;300 for high-variability profile","not used","1;1.25 for predeclared wide-shell profile","spectral","euclidean","4 CPU threads","no","package-native HNSW, target recall 0.99","full R public-function time"
"fastEmbedR_umap_cuda_fuzzy_full","UMAP","cuda","k=30","500 if n<10000;200 otherwise;300 for high-variability profile","not used","1;1.25 for predeclared wide-shell profile","spectral","euclidean","1 CUDA device","no","package-native CUDA exact/recall-tuned IVF-Flat auto route, target recall 0.99","full R public-function time"
"fastEmbedR_umap_cuda_binary_full","UMAP","cuda","k=30","500 if n<10000;200 otherwise;300 for high-variability profile","not used","1;1.25 for predeclared wide-shell profile","spectral","euclidean","1 CUDA device","no","package-native CUDA exact/recall-tuned IVF-Flat auto route, target recall 0.99","full R public-function time"
"umap_package","UMAP","cpu","k=30","umap package defaults","not used","umap package default","spectral","euclidean","4 CPU threads","no","umap package internal","full R public-function time"
"uwot_default","UMAP","cpu","k=30","500 if n<=10000;200 otherwise","not used","1","spectral","euclidean","4 KNN + 4 SGD threads","no","uwot automatic internal search","full R public-function time"
"uwot_fast_sgd","UMAP","cpu","k=30","500 if n<=10000;200 otherwise","not used","1","spectral","euclidean","4 KNN + 4 SGD threads","no","uwot automatic internal search","full R public-function time"
"python_umap_learn","UMAP","cpu","k=30","Python umap-learn defaults","not used","Python umap-learn default","Python umap-learn default","euclidean","4 CPU threads","no","Python umap-learn internal approximate search","reticulate full-call time"
"python_umap_learn_direct","UMAP","cpu","k=30","Python umap-learn defaults","not used","Python umap-learn default","Python umap-learn default","euclidean","4 CPU threads","no","Python umap-learn internal approximate search","Python-side fit time; process startup/loading separate"
"rapids_cuml_umap_full","UMAP","cuda","k=30","RAPIDS cuML defaults","not used","RAPIDS cuML default","RAPIDS cuML default","euclidean","1 CUDA device","no","RAPIDS cuML internal GPU graph construction","reticulate full-call time"
"rapids_cuml_umap_full_direct","UMAP","cuda","k=30","RAPIDS cuML defaults","not used","RAPIDS cuML default","RAPIDS cuML default","euclidean","1 CUDA device","no","RAPIDS cuML internal GPU graph construction","Python-side fit time; process startup/loading separate"
