"dataset","method","family","backend","timing_scope","requested_threads","effective_threads","n","p","k","perplexity","input_type","landmark_fraction","n_runs","n_success","status","total_runtime_sec_median","total_runtime_sec_q1","total_runtime_sec_q3","total_runtime_sec_iqr","total_runtime_sec_sd","total_runtime_sec_min","total_runtime_sec_max","preprocess_sec_median","preprocess_sec_q1","preprocess_sec_q3","preprocess_sec_iqr","preprocess_sec_sd","preprocess_sec_min","preprocess_sec_max","knn_sec_median","knn_sec_q1","knn_sec_q3","knn_sec_iqr","knn_sec_sd","knn_sec_min","knn_sec_max","init_sec_median","init_sec_q1","init_sec_q3","init_sec_iqr","init_sec_sd","init_sec_min","init_sec_max","graph_or_affinity_sec_median","graph_or_affinity_sec_q1","graph_or_affinity_sec_q3","graph_or_affinity_sec_iqr","graph_or_affinity_sec_sd","graph_or_affinity_sec_min","graph_or_affinity_sec_max","embedding_sec_median","embedding_sec_q1","embedding_sec_q3","embedding_sec_iqr","embedding_sec_sd","embedding_sec_min","embedding_sec_max","peak_ram_gb_median","peak_ram_gb_q1","peak_ram_gb_q3","peak_ram_gb_iqr","peak_ram_gb_sd","peak_ram_gb_min","peak_ram_gb_max","peak_gpu_mb_median","peak_gpu_mb_q1","peak_gpu_mb_q3","peak_gpu_mb_iqr","peak_gpu_mb_sd","peak_gpu_mb_min","peak_gpu_mb_max","peak_gpu_delta_mb_median","peak_gpu_delta_mb_q1","peak_gpu_delta_mb_q3","peak_gpu_delta_mb_iqr","peak_gpu_delta_mb_sd","peak_gpu_delta_mb_min","peak_gpu_delta_mb_max","trustworthiness_median","trustworthiness_q1","trustworthiness_q3","trustworthiness_iqr","trustworthiness_sd","trustworthiness_min","trustworthiness_max","knn_preservation_15_median","knn_preservation_15_q1","knn_preservation_15_q3","knn_preservation_15_iqr","knn_preservation_15_sd","knn_preservation_15_min","knn_preservation_15_max","knn_preservation_30_median","knn_preservation_30_q1","knn_preservation_30_q3","knn_preservation_30_iqr","knn_preservation_30_sd","knn_preservation_30_min","knn_preservation_30_max","knn_preservation_50_median","knn_preservation_50_q1","knn_preservation_50_q3","knn_preservation_50_iqr","knn_preservation_50_sd","knn_preservation_50_min","knn_preservation_50_max","silhouette_median","silhouette_q1","silhouette_q3","silhouette_iqr","silhouette_sd","silhouette_min","silhouette_max","label_knn_accuracy_median","label_knn_accuracy_q1","label_knn_accuracy_q3","label_knn_accuracy_iqr","label_knn_accuracy_sd","label_knn_accuracy_min","label_knn_accuracy_max","tsne_kl_median","tsne_kl_q1","tsne_kl_q3","tsne_kl_iqr","tsne_kl_sd","tsne_kl_min","tsne_kl_max","n_landmarks_median","n_landmarks_q1","n_landmarks_q3","n_landmarks_iqr","n_landmarks_sd","n_landmarks_min","n_landmarks_max","reference_embedding_sec_median","reference_embedding_sec_q1","reference_embedding_sec_q3","reference_embedding_sec_iqr","reference_embedding_sec_sd","reference_embedding_sec_min","reference_embedding_sec_max","landmark_projection_knn_sec_median","landmark_projection_knn_sec_q1","landmark_projection_knn_sec_q3","landmark_projection_knn_sec_iqr","landmark_projection_knn_sec_sd","landmark_projection_knn_sec_min","landmark_projection_knn_sec_max","landmark_refinement_sec_median","landmark_refinement_sec_q1","landmark_refinement_sec_q3","landmark_refinement_sec_iqr","landmark_refinement_sec_sd","landmark_refinement_sec_min","landmark_refinement_sec_max","landmark_transform_sec_median","landmark_transform_sec_q1","landmark_transform_sec_q3","landmark_transform_sec_iqr","landmark_transform_sec_sd","landmark_transform_sec_min","landmark_transform_sec_max","kodama_core_sec_median","kodama_core_sec_q1","kodama_core_sec_q3","kodama_core_sec_iqr","kodama_core_sec_sd","kodama_core_sec_min","kodama_core_sec_max","kodama_visualization_sec_median","kodama_visualization_sec_q1","kodama_visualization_sec_q3","kodama_visualization_sec_iqr","kodama_visualization_sec_sd","kodama_visualization_sec_min","kodama_visualization_sec_max","kodama_core_peak_ram_gb_median","kodama_core_peak_ram_gb_q1","kodama_core_peak_ram_gb_q3","kodama_core_peak_ram_gb_iqr","kodama_core_peak_ram_gb_sd","kodama_core_peak_ram_gb_min","kodama_core_peak_ram_gb_max","kodama_visualization_peak_ram_gb_median","kodama_visualization_peak_ram_gb_q1","kodama_visualization_peak_ram_gb_q3","kodama_visualization_peak_ram_gb_iqr","kodama_visualization_peak_ram_gb_sd","kodama_visualization_peak_ram_gb_min","kodama_visualization_peak_ram_gb_max","kodama_core_peak_gpu_delta_mb_median","kodama_core_peak_gpu_delta_mb_q1","kodama_core_peak_gpu_delta_mb_q3","kodama_core_peak_gpu_delta_mb_iqr","kodama_core_peak_gpu_delta_mb_sd","kodama_core_peak_gpu_delta_mb_min","kodama_core_peak_gpu_delta_mb_max","kodama_visualization_peak_gpu_delta_mb_median","kodama_visualization_peak_gpu_delta_mb_q1","kodama_visualization_peak_gpu_delta_mb_q3","kodama_visualization_peak_gpu_delta_mb_iqr","kodama_visualization_peak_gpu_delta_mb_sd","kodama_visualization_peak_gpu_delta_mb_min","kodama_visualization_peak_gpu_delta_mb_max","suite","profile","source_file","method_label","runtime","runtime_q1","runtime_q3","trust","preserve30","silhouette","label_accuracy","peak_ram_gb","threads"
"COIL20","fastEmbedR_opentsne_cpu_full","t-SNE","cpu","full_pipeline",4,4,1440,16384,,30,"float32",,3,3,"success",16.438,16.356,17.3255,0.969499999999996,1.07527066360057,16.274,18.213,0.01,0.00950000000000006,0.0135000000000001,0.00399999999999999,0.00435889894354069,0.00900000000000012,0.0170000000000001,12.435,12.389,13.1495,0.7605,0.852833121620715,12.343,13.864,,,,,,,,,,,,,,,2.149,2.1175,2.2635,0.146,0.153663051295142,2.086,2.378,1.01515197753906,1.01513290405273,1.01566696166992,0.0005340576171875,0.000605964790722852,1.01511383056641,1.01618194580078,,,,,,,,,,,,,,,0.905713000449843,0.899063363537048,0.911104684788896,0.0120413212518475,0.0120632043441805,0.892413726624253,0.916496369127948,0.521794871794872,0.520299145299145,0.535470085470086,0.0151709401709401,0.0167213654243706,0.518803418803419,0.549145299145299,0.574358974358974,0.568055555555556,0.581410256410256,0.0133547008547005,0.0133616790885118,0.561752136752137,0.588461538461538,0.656153846153846,0.654487179487179,0.661474358974359,0.00698717948717953,0.00729868991153352,0.652820512820513,0.666794871794872,0.457890075855963,0.453099458953909,0.458473505971879,0.00537404701796995,0.00589750129878496,0.448308842051855,0.459056936087795,0.576923076923077,0.548076923076923,0.592948717948718,0.044871794871795,0.0454781979781898,0.519230769230769,0.608974358974359,0.721785448278456,0.71973609968086,0.722870143995916,0.00313404431505604,0.00318314605829725,0.717686751083264,0.723954839713376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/benchmark_summary_median_variability.csv","fastEmbedR openTSNE CPU",16.438,16.356,17.3255,0.905713000449843,0.574358974358974,0.457890075855963,0.576923076923077,1.01515197753906,4
"COIL20","KlugerLab_FItSNE","t-SNE","cpu","full_pipeline",4,4,1440,16384,,30,"standard_R_double",,3,3,"success",21.694,21.5315,21.754,0.222499999999997,0.230235386796499,21.369,21.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32224655151367,1.32222366333008,1.32228469848633,6.103515625e-05,6.16676618091946e-05,1.32220077514648,1.32232284545898,,,,,,,,,,,,,,,0.870143306985412,0.866430499325236,0.872665638455112,0.00623513912987594,0.00627290771138932,0.86271769166506,0.875187969924812,0.57948717948718,0.578632478632479,0.583974358974359,0.00534188034187999,0.00573881398247358,0.577777777777778,0.588461538461538,0.626282051282051,0.622542735042735,0.627777777777778,0.00523504273504249,0.00539291857441168,0.618803418803419,0.629273504273504,0.639871794871795,0.635448717948718,0.643076923076923,0.00762820512820495,0.00766054696727488,0.631025641025641,0.646282051282051,0.39408073810194,0.381748334324119,0.396559092206128,0.014810757882009,0.0158658747220662,0.369415930546298,0.399037446310316,0.621794871794872,0.605769230769231,0.628205128205129,0.0224358974358975,0.0231125081760513,0.58974358974359,0.634615384615385,1.01821545469563,1.01673240992864,1.0184228782591,0.00169046833045994,0.0018439323002493,1.01524936516166,1.01863030182258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/benchmark_summary_median_variability.csv","FIt-SNE",21.694,21.5315,21.754,0.870143306985412,0.626282051282051,0.39408073810194,0.621794871794872,1.32224655151367,4
"COIL20","Rtsne_full","t-SNE","cpu","full_pipeline",4,4,1440,16384,,30,"standard_R_double",,3,3,"success",8.238,8.194,8.609,0.415000000000001,0.455925432499658,8.15,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58675765991211,1.56815528869629,1.60047912597656,0.0323238372802734,0.0324464410203514,1.54955291748047,1.61420059204102,,,,,,,,,,,,,,,0.844871794871795,0.836157701947176,0.847370027633185,0.0112123256860099,0.0117726471030138,0.827443609022556,0.849868260394576,0.530769230769231,0.513247863247864,0.533547008547008,0.0202991452991449,0.0220116585635483,0.495726495726496,0.536324786324786,0.527991452991453,0.526282051282052,0.53525641025641,0.0089743589743585,0.00953032973428885,0.52457264957265,0.542521367521367,0.540384615384615,0.533974358974359,0.573205128205128,0.039230769230769,0.0420898301531739,0.527564102564103,0.606025641025641,0.464582856357673,0.456883214041169,0.466295457874944,0.00941224383377454,0.0100268915005427,0.449183571724665,0.468008059392214,0.58974358974359,0.58974358974359,0.641025641025641,0.051282051282051,0.0592154122245767,0.58974358974359,0.692307692307692,0.962016725852954,0.951283180566607,0.964680069023754,0.0133968884571475,0.0141840053485787,0.94054963528026,0.967343412194555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/benchmark_summary_median_variability.csv","Rtsne",8.238,8.194,8.609,0.844871794871795,0.527991452991453,0.464582856357673,0.58974358974359,1.58675765991211,4
"COIL20","fastEmbedR_umap_cpu_fuzzy_full","UMAP","cpu","full_pipeline",4,4,1440,16384,30,,"float32",,3,3,"success",13.469,13.447,13.8275,0.380500000000001,0.42722866632909,13.425,14.186,0.01,0.00949999999999995,0.0164999999999999,0.007,0.00781024967590663,0.0089999999999999,0.0229999999999999,12.882,12.864,13.237,0.372999999999999,0.42069624829957,12.846,13.592,,,,,,,,,,,,,,,0.282,0.281,0.288999999999999,0.00799999999999901,0.00871779788708042,0.280000000000001,0.295999999999999,0.543449401855469,0.54002571105957,0.543609619140625,0.00358390808105469,0.00404901019821154,0.536602020263672,0.543769836425781,,,,,,,,,,,,,,,0.826791337317653,0.825875586401902,0.839901034637876,0.0140254482359744,0.0156932249030714,0.824959835486151,0.8530107319581,0.495299145299145,0.490811965811966,0.511324786324786,0.0205128205128206,0.0215674408221291,0.486324786324786,0.527350427350427,0.48482905982906,0.469551282051282,0.496047008547009,0.0264957264957265,0.0265992028677808,0.454273504273504,0.507264957264957,0.531153846153846,0.511730769230769,0.549935897435897,0.0382051282051284,0.0382069207403727,0.492307692307692,0.568717948717949,0.543671330318049,0.539682981129534,0.548830919019833,0.0091479378903,0.00917289676041692,0.535694631941018,0.553990507721618,0.628205128205128,0.592948717948718,0.631410256410256,0.0384615384615384,0.0426815905030729,0.557692307692308,0.634615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/benchmark_summary_median_variability.csv","fastEmbedR UMAP CPU",13.469,13.447,13.8275,0.826791337317653,0.48482905982906,0.543671330318049,0.628205128205128,0.543449401855469,4
"COIL20","umap_package","UMAP","cpu","full_pipeline",4,4,1440,16384,30,,"standard_R_double",,3,3,"success",40.474,39.704,41.0005,1.29650000000001,1.30409981724304,38.934,41.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41672897338867,1.41670417785645,1.42606544494629,0.00936126708984375,0.0107951729179297,1.41667938232422,1.43540191650391,,,,,,,,,,,,,,,0.831418289313026,0.830859199280252,0.843470856628751,0.0126116573484994,0.0142508680821159,0.830300109247478,0.855523423944477,0.511538461538461,0.509188034188034,0.521794871794871,0.0126068376068375,0.0134077294752594,0.506837606837607,0.532051282051282,0.536538461538462,0.528632478632479,0.552564102564103,0.0239316239316241,0.0243864492426577,0.520726495726496,0.568589743589744,0.58,0.57301282051282,0.586538461538461,0.013525641025641,0.0135281218610346,0.566025641025641,0.593076923076923,0.466870046319513,0.464460650286424,0.484648433823244,0.0201877835368195,0.0220518004647625,0.462051254253335,0.502426821326974,0.557692307692308,0.509615384615385,0.628205128205129,0.118589743589744,0.119295084206905,0.461538461538462,0.698717948717949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/benchmark_summary_median_variability.csv","umap package",40.474,39.704,41.0005,0.831418289313026,0.536538461538462,0.466870046319513,0.557692307692308,1.41672897338867,4
"COIL20","uwot_default","UMAP","cpu","full_pipeline",4,4,1440,16384,30,,"standard_R_double",,3,3,"success",22.766,22.738,22.9155,0.177500000000002,0.190858586393173,22.71,23.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07488250732422,1.06919097900391,1.10369873046875,0.0345077514648438,0.0370004785743443,1.06349945068359,1.13251495361328,,,,,,,,,,,,,,,0.855378831694621,0.84628558575927,0.862303193882141,0.016017608122871,0.0160664802891526,0.837192339823919,0.869227556069661,0.527350427350427,0.526495726495727,0.533760683760684,0.00726495726495702,0.00794151559245933,0.525641025641026,0.54017094017094,0.555555555555556,0.550747863247864,0.571153846153847,0.0204059829059831,0.0213358026686512,0.545940170940171,0.586752136752137,0.575128205128205,0.571217948717949,0.590576923076923,0.0193589743589745,0.0204731186304453,0.567307692307692,0.606025641025641,0.495440052977097,0.48786935835239,0.511009658344191,0.0231402999918005,0.0235966312863811,0.480298663727684,0.526579263711285,0.596153846153846,0.528846153846154,0.634615384615385,0.105769230769231,0.107072391592885,0.461538461538462,0.673076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/benchmark_summary_median_variability.csv","uwot default",22.766,22.738,22.9155,0.855378831694621,0.555555555555556,0.495440052977097,0.596153846153846,1.07488250732422,4
"COIL20","uwot_fast_sgd","UMAP","cpu","full_pipeline",4,4,1440,16384,30,,"standard_R_double",,3,3,"success",23.495,23.383,24.4705,1.0875,1.19632785361427,23.271,25.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06206512451172,1.05854225158691,1.06279373168945,0.00425148010253906,0.00454727648349746,1.05501937866211,1.06352233886719,,,,,,,,,,,,,,,0.860404215667374,0.853841334104492,0.869237195552985,0.0153958614484929,0.0154515478795107,0.84727845254161,0.878070175438596,0.539316239316239,0.529273504273504,0.548076923076923,0.018803418803419,0.0188179819284651,0.519230769230769,0.556837606837607,0.581623931623932,0.558653846153847,0.589957264957265,0.0313034188034186,0.0324239962551368,0.535683760683761,0.598290598290598,0.585897435897436,0.576987179487179,0.589038461538462,0.012051282051282,0.0125031225554165,0.568076923076923,0.592179487179487,0.485856242279451,0.485030293498321,0.504145461629594,0.019115168131273,0.021611222216147,0.484204344717191,0.522434680979737,0.647435897435897,0.548076923076923,0.657051282051282,0.108974358974359,0.120665024816201,0.448717948717949,0.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/benchmark_summary_median_variability.csv","uwot fast SGD",23.495,23.383,24.4705,0.860404215667374,0.581623931623932,0.485856242279451,0.647435897435897,1.06206512451172,4
"COIL20","fastEmbedR_opentsne_cuda_full","t-SNE","cuda","full_pipeline",1,,1440,16384,,30,"float32",,3,3,"success",6.42,6.41,6.541,0.131,0.145835523793073,6.4,6.662,0.02,0.02,0.0205,0.000500000000000049,0.000577350269189682,0.02,0.0210000000000001,0.327,0.3265,0.339,0.0125,0.0141539158303747,0.326,0.351,,,,,,,,,,,,,,,5.818,5.81,5.9305,0.120500000000001,0.134760280993078,5.802,6.043,1.24110412597656,1.24102210998535,1.24840927124023,0.00738716125488281,0.00848300360924925,1.24094009399414,1.25571441650391,8285,8285,8285,0,0,8285,8285,8285,8285,8285,0,0,8285,8285,0.9052888631836,0.898484994537626,0.910773729194782,0.0122887346571559,0.0123123077497349,0.891681125891652,0.916258595205964,0.528205128205128,0.523931623931624,0.539529914529915,0.0155982905982904,0.0161208000973162,0.51965811965812,0.550854700854701,0.572222222222222,0.556196581196581,0.572649572649573,0.0164529914529915,0.0187564162608013,0.54017094017094,0.573076923076923,0.659871794871795,0.657884615384616,0.664807692307693,0.00692307692307703,0.00712932721906765,0.655897435897436,0.66974358974359,0.4454442476872,0.445432523968637,0.445561192679595,0.000128668710958013,0.000142288940780844,0.445420800250074,0.44567813767199,0.576923076923077,0.544871794871795,0.580128205128205,0.0352564102564101,0.0389920675019115,0.512820512820513,0.583333333333333,0.724022479489211,0.723709352945872,0.726794079801875,0.00308472685600347,0.00339562034601976,0.723396226402533,0.72956568011454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cuda/20260721_192838_1071189/benchmark_summary_median_variability.csv","fastEmbedR openTSNE CUDA",6.42,6.41,6.541,0.9052888631836,0.572222222222222,0.4454442476872,0.576923076923077,1.24110412597656,1
"COIL20","fastEmbedR_umap_cuda_fuzzy_full","UMAP","cuda","full_pipeline",1,,1440,16384,30,,"float32",,3,3,"success",0.602,0.6,0.6175,0.0175,0.019157244060668,0.598,0.633,0.02,0.02,0.0225,0.00249999999999995,0.00288675134594807,0.02,0.0249999999999999,0.331,0.3245,0.342,0.0175,0.0176918060129541,0.318,0.353,,,,,,,,,,,,,,,0.024,0.024,0.029,0.005,0.00577350269189626,0.024,0.034,1.03472900390625,1.0346508026123,1.03564643859863,0.000995635986328125,0.00110727680201891,1.03457260131836,1.03656387329102,2265,2265,2265,0,0,2265,2265,2265,2265,2265,0,0,2265,2265,0.859902962534541,0.859668401773664,0.874019985862091,0.0143515840884265,0.0164380317602871,0.859433841012788,0.888137009189641,0.518803418803419,0.50491452991453,0.522222222222222,0.0173076923076925,0.0183329514700004,0.491025641025641,0.525641025641026,0.514102564102564,0.5125,0.528846153846154,0.016346153846154,0.0180210690728427,0.510897435897436,0.543589743589744,0.572179487179487,0.563525641025641,0.578974358974359,0.0154487179487179,0.015485955405296,0.554871794871795,0.585769230769231,0.539616151106626,0.538385740745603,0.542223072115463,0.00383733136985953,0.00391876331214615,0.53715533038458,0.544829993124299,0.602564102564103,0.573717948717949,0.641025641025641,0.0673076923076924,0.0675362420054664,0.544871794871795,0.67948717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cuda/20260721_192838_1071189/benchmark_summary_median_variability.csv","fastEmbedR UMAP CUDA",0.602,0.6,0.6175,0.859902962534541,0.514102564102564,0.539616151106626,0.602564102564103,1.03472900390625,1
"FashionMNIST","fastEmbedR_opentsne_cpu_full","t-SNE","cpu","full_pipeline",4,4,70000,784,,30,"float32",,3,3,"success",69.958,69.172,69.9805,0.808500000000009,0.920859924201289,68.386,70.003,0.0279999999999998,0.0239999999999999,0.0284999999999999,0.00450000000000005,0.00493288286231623,0.02,0.0290000000000001,33.779,32.805,34.231,1.426,1.45749922813016,31.831,34.683,,,,,,,,,,,,,,,33.492,32.931,33.516,0.585000000000001,0.662078545189316,32.37,33.54,1.74129486083984,1.74128532409668,1.7415657043457,0.000280380249023438,0.000318392041545031,1.74127578735352,1.74183654785156,,,,,,,,,,,,,,,0.962753205479008,0.961166039015703,0.964913095001628,0.0037470559859254,0.00376161744411678,0.959578872552398,0.967072984524249,0.498225957049486,0.494257703081233,0.509803921568627,0.0155462184873945,0.0161551067513414,0.490289449112979,0.521381886087768,0.553174603174603,0.549579831932773,0.556605975723622,0.00702614379084954,0.00702677709057503,0.545985060690943,0.560037348272642,0.57546218487395,0.574257703081232,0.578067226890757,0.00380952380952404,0.0038943969968529,0.573053221288515,0.580672268907563,0.121039979090181,0.113196227962219,0.12869143538947,0.0154952074272505,0.0154956051505117,0.105352476834258,0.136342891688759,0.736694677871149,0.728291316526611,0.740196078431373,0.0119047619047621,0.0122365475462944,0.719887955182073,0.743697478991597,1.84651607280656,1.84550116977179,1.84661562281602,0.00111445304422508,0.00123340827577918,1.84448626673703,1.84671517282548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/benchmark_summary_median_variability.csv","fastEmbedR openTSNE CPU",69.958,69.172,69.9805,0.962753205479008,0.553174603174603,0.121039979090181,0.736694677871149,1.74129486083984,4
