"dataset","family","method_label","backend","threads","runtime","runtime_q1","runtime_q3","peak_ram_gb","trust","preserve30","silhouette","label_accuracy"
"MNIST","UMAP","fastEmbedR UMAP CUDA","cuda",1,0.991,0.977,0.9965,1.13073348999023,0.927346664666832,0.490429505135387,0.518540715374824,0.963585434173669
"MNIST","UMAP","fastEmbedR UMAP CPU","cpu",4,50.042,49.136,50.1945,0.79296875,0.925011451758706,0.490056022408964,0.534631277350005,0.959383753501401
"MNIST","UMAP","uwot fast SGD","cpu",4,65.338,65.188,65.371,1.61708450317383,0.928768439358377,0.491316526610644,0.533163900955265,0.96218487394958
"MNIST","t-SNE","fastEmbedR openTSNE CUDA","cuda",1,1.938,1.912,1.9645,1.45226669311523,0.924249082170254,0.474276377217554,0.375693481358488,0.96218487394958
"MNIST","t-SNE","fastEmbedR openTSNE CPU","cpu",4,69.556,68.632,69.6135,1.74161148071289,0.923649266749633,0.477124183006536,0.357363449095772,0.952380952380952
"MNIST","t-SNE","FIt-SNE","cpu",4,116.486,114.558,116.6355,3.1267204284668,0.916664166872731,0.461297852474323,0.335344106781681,0.950980392156863
"MNIST","t-SNE","Rtsne","cpu",4,125.833,125.2995,126.935,2.14950942993164,0.906553648955964,0.468534080298786,0.306602406517342,0.956582633053221
"FashionMNIST","UMAP","fastEmbedR UMAP CUDA","cuda",1,0.972,0.968,0.9745,1.12826156616211,0.964485359990595,0.574743230625584,0.0751227127573011,0.735294117647059
"FashionMNIST","UMAP","fastEmbedR UMAP CPU","cpu",4,47.722,47.275,49.5005,0.808822631835938,0.966259267817112,0.580999066293184,0.142329104695951,0.728291316526611
"FashionMNIST","UMAP","uwot fast SGD","cpu",4,61.679,60.8655,62.465,1.40840148925781,0.944238650597721,0.545331465919701,0.205398644480764,0.717086834733894
"FashionMNIST","t-SNE","fastEmbedR openTSNE CUDA","cuda",1,1.868,1.8655,1.9165,1.45217895507812,0.965552839563225,0.5562558356676,0.126424444277741,0.742296918767507
"FashionMNIST","t-SNE","fastEmbedR openTSNE CPU","cpu",4,69.958,69.172,69.9805,1.74129486083984,0.962753205479008,0.553174603174603,0.121039979090181,0.736694677871149
"FashionMNIST","t-SNE","Rtsne","cpu",4,101.257,98.6605,105.2145,2.63107681274414,0.924170169756277,0.515686274509804,0.0997006473544386,0.714285714285714
"FashionMNIST","t-SNE","FIt-SNE","cpu",4,105.28,104.87,106.3135,2.9209098815918,0.930558156692489,0.517413632119515,0.126919929643289,0.733893557422969
"TabulaMuris","UMAP","fastEmbedR UMAP CUDA","cuda",1,0.891,0.8695,0.9395,0.771785736083984,0.96363631765301,0.603483333333333,-0.0593576130411034,0.8135
"TabulaMuris","UMAP","fastEmbedR UMAP CPU","cpu",4,33.012,32.0025,33.3695,0.710742950439453,0.970258978249874,0.6115,-0.0708903607449774,0.819
"TabulaMuris","UMAP","uwot fast SGD","cpu",4,59.054,58.2395,59.3975,0.915767669677734,0.981968942842691,0.640133333333333,0.0507538146772948,0.827
"TabulaMuris","t-SNE","fastEmbedR openTSNE CUDA","cuda",1,3.088,3.086,3.172,0.817470550537109,0.983247091552858,0.631933333333333,0.0162886694000834,0.8405
"TabulaMuris","t-SNE","fastEmbedR openTSNE CPU","cpu",4,48.91,47.3595,49.8775,0.698776245117188,0.97680944191536,0.61795,-0.0180952087122255,0.84
"TabulaMuris","t-SNE","FIt-SNE","cpu",4,59.028,58.5645,61.0525,0.690887451171875,0.977028662957343,0.609283333333333,-0.0101429946628614,0.8385
"TabulaMuris","t-SNE","Rtsne","cpu",4,105.214,103.5255,109.9245,0.586219787597656,0.93335397066262,0.562966666666667,-0.120308228109144,0.814
"Macosko2015_retina","UMAP","fastEmbedR UMAP CUDA","cuda",1,0.656,0.656,0.6675,0.941627502441406,0.912367442252571,0.399033333333333,0.325290946585166,0.9645
"Macosko2015_retina","UMAP","fastEmbedR UMAP CPU","cpu",4,17.928,17.3765,18.6075,0.528007507324219,0.91882505479683,0.4069,0.345522759328256,0.9635
"Macosko2015_retina","UMAP","uwot fast SGD","cpu",4,20.831,20.275,21.59,0.73126220703125,0.918991316809981,0.40715,0.35418137901349,0.964
"Macosko2015_retina","t-SNE","fastEmbedR openTSNE CUDA","cuda",1,0.916,0.916,1.007,0.987293243408203,0.924561355589277,0.423583333333333,0.089557979583277,0.966
"Macosko2015_retina","t-SNE","fastEmbedR openTSNE CPU","cpu",4,19.013,18.328,19.028,0.607166290283203,0.925181301635475,0.418516666666667,-0.0106501767444388,0.9675
"Macosko2015_retina","t-SNE","FIt-SNE","cpu",4,36.717,36.684,37.5765,0.580257415771484,0.92447376496375,0.410566666666667,0.0253299828301987,0.9675
"Macosko2015_retina","t-SNE","Rtsne","cpu",4,52.268,50.235,53.8065,0.546253204345703,0.919542286292362,0.4127,-0.0189327737857118,0.9675
"flow18","UMAP","fastEmbedR UMAP CUDA","cuda",1,1.77,1.7645,1.772,0.898582458496094,0.964518007081437,0.427016666666667,0.396854143377644,0.952
"flow18","UMAP","fastEmbedR UMAP CPU","cpu",4,398.817,396.601,400.715,3.67353439331055,0.964973882987692,0.4298,0.455608758050752,0.954
"flow18","UMAP","uwot fast SGD","cpu",4,789.126,784.3195,796.48,6.57590103149414,0.966161406170966,0.429433333333333,0.397319316641167,0.9555
"flow18","t-SNE","fastEmbedR openTSNE CUDA","cuda",1,5.471,5.44,5.5625,0.944881439208984,0.977266885853988,0.441033333333333,0.0710134739764368,0.956
"flow18","t-SNE","fastEmbedR openTSNE CPU","cpu",4,356.27,356.091,358.955,1.94469833374023,0.975126740853145,0.4387,0.0538105049024427,0.955
"flow18","t-SNE","FIt-SNE","cpu",4,464.383,455.6495,466.438,3.33035278320312,0.974468740515933,0.436033333333333,0.0497212852703548,0.953
"flow18","t-SNE","Rtsne","cpu",4,1925.527,1893.5205,1970.9645,3.26904678344727,0.77698406676783,0.2256,-0.165879248907169,0.7445
"mass41","UMAP","fastEmbedR UMAP CUDA","cuda",1,2.151,2.1435,2.1565,0.876422882080078,0.970044275838813,0.409,0.289736692010766,0.9005
"mass41","UMAP","uwot fast SGD","cpu",4,407.708,401.999,408.693,6.0094108581543,0.971277491148204,0.41075,0.317428879195473,0.8965
"mass41","UMAP","fastEmbedR UMAP CPU","cpu",4,411.15,399.5725,414.45,3.78664398193359,0.971090574945203,0.4102,0.346937714230203,0.9075
"mass41","t-SNE","fastEmbedR openTSNE CUDA","cuda",1,5.773,5.772,5.882,0.926914215087891,0.975007975046367,0.415983333333333,0.225740431704233,0.887
"mass41","t-SNE","fastEmbedR openTSNE CPU","cpu",4,339.476,335.8885,340.782,1.94624328613281,0.973045624683864,0.409116666666667,0.211441243569074,0.879
"mass41","t-SNE","FIt-SNE","cpu",4,403.201,402.441,403.5115,3.48016738891602,0.970281891755185,0.3981,0.191875033837874,0.8895
"mass41","t-SNE","Rtsne","cpu",4,2307.297,2278.5975,2461.8,3.40436553955078,0.868080374304502,0.29875,0.0687537047460859,0.762
"FlowRepository_FR-FCM-ZYRM_files","UMAP","fastEmbedR UMAP CUDA","cuda",1,76.84,76.797,77.098,1.96230316162109,0.96831298263362,0.442616666666667,-0.191047925705389,0.479
"FlowRepository_FR-FCM-ZYRM_files","t-SNE","fastEmbedR openTSNE CUDA","cuda",1,90.995,90.963,91.162,2.60515975952148,0.973779059180577,0.444666666666667,-0.203624138507501,0.4765
"imagenet","UMAP","fastEmbedR UMAP CPU","cpu",4,1166.129,1142.6765,1180.3525,11.1484489440918,0.588191716500554,0.107466666666667,0.557633670395338,0.0368
"imagenet","t-SNE","fastEmbedR openTSNE CPU","cpu",4,1026.293,1022.584,1063.0515,30.4797821044922,0.612870697674419,0.130026666666667,0.513199013955506,0.032
