"dataset","family","profile","landmark_fraction","full_runtime_sec","landmark_runtime_sec","full_over_landmark_speedup","trustworthiness_full","trustworthiness_landmark","trustworthiness_delta","preservation30_full","preservation30_landmark","preservation30_delta"
"COIL20","t-SNE","cpu4",0.2,11.463,5.722,2.00332051730164,0.905713000449843,0.94281537176274,0.037102371312897,0.574358974358974,0.718803418803419,0.144444444444445
"FashionMNIST","t-SNE","cpu4",0.2,61.74,30.198,2.04450625869263,0.962753205479008,0.96335180478366,0.000598599304652003,0.553174603174603,0.558916900093371,0.00574229691876804
"MNIST","t-SNE","cpu4",0.2,68.059,40.137,1.69566733936268,0.923649266749633,0.910842754853992,-0.012806511895641,0.477124183006536,0.467273576097106,-0.00985060690942996
"Macosko2015_retina","t-SNE","cpu4",0.200008926977325,18.517,8.926,2.07450145641945,0.925181301635475,0.914764306187827,-0.010416995447648,0.418516666666667,0.389916666666667,-0.0286
"MetRef","t-SNE","cpu4",0.200458190148912,2.864,2.362,1.2125317527519,0.884126586258788,0.780098286279002,-0.104028299979786,0.442764413898435,0.241809851088202,-0.200954562810233
"TabulaMuris","t-SNE","cpu4",0.200005993886236,50.303,26.669,1.88619745772245,0.97680944191536,0.984306912830889,0.00749747091552899,0.61795,0.63525,0.0173
"USPS","t-SNE","cpu4",0.2,17.157,11.86,1.44662731871838,0.948599271936974,0.942424471610975,-0.00617480032599904,0.453973333333333,0.44272,-0.011253333333333
"flow18","t-SNE","cpu4",0.2000007999832,227.91,154.261,1.47743110701992,0.975126740853145,0.975354425897825,0.000227685044679959,0.4387,0.424283333333333,-0.014416666666667
"imagenet","t-SNE","cpu4",0.200000468323021,689.479,412.395,1.67188981437699,0.612870697674419,0.625610985603544,0.012740287929125,0.130026666666667,0.139893333333333,0.009866666666666
"mass41","t-SNE","cpu4",0.200000621580015,356.482,270.261,1.31902864268244,0.973045624683864,0.967292581352217,-0.00575304333164706,0.409116666666667,0.39165,-0.017466666666667
"COIL20","t-SNE","cuda",0.2,6.452,7.318,0.881661656190216,0.907354925775978,0.947962855857593,0.040607930081615,0.57542735042735,0.734188034188034,0.158760683760684
"FashionMNIST","t-SNE","cuda",0.2,1.921,2.067,0.929366231253024,0.965585944942376,0.967741172687116,0.00215522774473997,0.55718954248366,0.565079365079365,0.00788982259570492
"FlowRepository_FR-FCM-ZYRM_files","t-SNE","cuda",0.200000114934888,91.968,31.275,2.94062350119904,0.973598583712696,0.974180138256618,0.000581554543921947,0.444966666666667,0.437983333333333,-0.00698333333333401
"MNIST","t-SNE","cuda",0.2,1.946,2.06,0.944660194174757,0.925367908861567,0.915468319503392,-0.00989958935817492,0.474976657329598,0.470634920634921,-0.00434173669467697
"Macosko2015_retina","t-SNE","cuda",0.200008926977325,0.925,0.915,1.01092896174863,0.924056348002023,0.921470612038442,-0.00258573596358092,0.423983333333333,0.40195,-0.022033333333333
"MetRef","t-SNE","cuda",0.200458190148912,0.725,0.803,0.902864259028643,0.8855752757002,0.781241425779934,-0.104333849920266,0.451355479190531,0.244100801832761,-0.20725467735777
"TabulaMuris","t-SNE","cuda",0.200005993886236,3.134,1.348,2.32492581602374,0.983630450177036,0.990844393862755,0.00721394368571904,0.631883333333333,0.65295,0.021066666666667
"USPS","t-SNE","cuda",0.2,0.785,0.986,0.796146044624746,0.954468894322195,0.942883955446889,-0.011584938875306,0.4564,0.44584,-0.01056
