"dataset","graph_backend","threads","method","seed","n","n_edges","native_runtime_sec","native_modularity","native_communities","label_ari","label_nmi","igraph_status","igraph_runtime_sec","igraph_modularity","igraph_communities","native_vs_igraph_ari","native_vs_igraph_nmi","membership_file","plot_file","status","error","peak_ram_gb"
"MetRef","cpu",1,"louvain",4,873,20974,0.00999999999999998,0.610462242100402,13,0.36292850959179,0.612829852018802,"success",0.19,0.60957668454093,13,0.956982085716262,0.96955027839795,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_louvain_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads1_louvain_seed4.png","success",,0.140167236328125
"MetRef","cpu",1,"louvain",17,873,20974,0.011,0.610641514151872,13,0.362573655906785,0.61295222249805,"success",0.094,0.606741706513314,12,0.871933277016104,0.923628243826285,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_louvain_seed17_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads1_louvain_seed17.png","success",,0.140411376953125
"MetRef","cpu",1,"louvain",42,873,20974,0.00999999999999998,0.610224161459112,13,0.364116805507065,0.614442839783059,"success",0.098,0.610026636782502,13,0.957129169840624,0.967902392112132,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_louvain_seed42_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads1_louvain_seed42.png","success",,0.14007568359375
"MetRef","cpu",1,"leiden",4,873,20974,0.028,0.612378115382287,12,0.357378102583259,0.609242702381698,"success",0.103,0.612426912128004,12,0.983264266672223,0.988574767301604,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_leiden_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads1_leiden_seed4.png","success",,0.14105224609375
"MetRef","cpu",1,"leiden",17,873,20974,0.024,0.612418734409966,12,0.35790236064236,0.611215235459692,"success",0.101,0.612004649086861,13,0.900403479724292,0.931726076442335,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_leiden_seed17_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads1_leiden_seed17.png","success",,0.141998291015625
"MetRef","cpu",1,"leiden",42,873,20974,0.024,0.612183041833054,12,0.353193566928451,0.604805549841511,"success",0.1,0.612418734409987,12,0.962122405389036,0.973987284912408,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_leiden_seed42_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads1_leiden_seed42.png","success",,0.14227294921875
"MetRef","cpu",1,"walktrap",4,873,20974,0.404,0.574947019114626,13,0.26063333138381,0.580692480475176,"success",0.166,0.583282000638176,13,0.816487069404116,0.896931415844923,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_walktrap_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads1_walktrap_seed4.png","success",,0.158889770507812
"MetRef","cpu",4,"louvain",4,873,20974,0.011,0.610462242100402,13,0.36292850959179,0.612829852018802,"success",0.109,0.60957668454093,13,0.956982085716262,0.96955027839795,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_louvain_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads4_louvain_seed4.png","success",,0.1407470703125
"MetRef","cpu",4,"louvain",17,873,20974,0.01,0.610641514151872,13,0.362573655906785,0.61295222249805,"success",0.105,0.606741706513314,12,0.871933277016104,0.923628243826285,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_louvain_seed17_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads4_louvain_seed17.png","success",,0.14007568359375
"MetRef","cpu",4,"louvain",42,873,20974,0.01,0.610224161459112,13,0.364116805507065,0.614442839783059,"success",0.106,0.610026636782502,13,0.957129169840624,0.967902392112132,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_louvain_seed42_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads4_louvain_seed42.png","success",,0.139877319335938
"MetRef","cpu",4,"leiden",4,873,20974,0.028,0.612378115382287,12,0.357378102583259,0.609242702381698,"success",0.105,0.612426912128004,12,0.983264266672223,0.988574767301604,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_leiden_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads4_leiden_seed4.png","success",,0.141845703125
"MetRef","cpu",4,"leiden",17,873,20974,0.025,0.612418734409966,12,0.35790236064236,0.611215235459692,"success",0.105,0.612004649086861,13,0.900403479724292,0.931726076442335,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_leiden_seed17_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads4_leiden_seed17.png","success",,0.1405029296875
"MetRef","cpu",4,"leiden",42,873,20974,0.031,0.612183041833054,12,0.353193566928451,0.604805549841511,"success",0.132,0.612418734409987,12,0.962122405389036,0.973987284912408,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_leiden_seed42_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads4_leiden_seed42.png","success",,0.1419677734375
"MetRef","cpu",4,"walktrap",4,873,20974,0.418,0.574947019114626,13,0.26063333138381,0.580692480475176,"success",0.17,0.583282000638176,13,0.816487069404116,0.896931415844923,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_walktrap_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_cpu_threads4_walktrap_seed4.png","success",,0.143478393554688
"MetRef","metal",4,"louvain",4,873,20972,0.00999999999999998,0.610509759399919,13,0.363405631889201,0.613957879288955,"success",0.097,0.60981896441452,13,0.962137899620071,0.971597633647596,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_louvain_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_metal_threads4_louvain_seed4.png","success",,0.139938354492188
"MetRef","metal",4,"louvain",17,873,20972,0.011,0.610652760161314,13,0.362573655906785,0.61295222249805,"success",0.096,0.60675768853851,12,0.871933277016104,0.923628243826285,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_louvain_seed17_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_metal_threads4_louvain_seed17.png","success",,0.139266967773438
"MetRef","metal",4,"louvain",42,873,20972,0.00899999999999998,0.610230122682066,13,0.364116805507065,0.614442839783059,"success",0.096,0.610043340194698,13,0.957129169840624,0.967902392112132,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_louvain_seed42_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_metal_threads4_louvain_seed42.png","success",,0.142501831054688
"MetRef","metal",4,"leiden",4,873,20972,0.028,0.612391609962101,12,0.357378102583259,0.609242702381698,"success",0.102,0.612160733494118,13,0.920073104248506,0.944704847852746,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_leiden_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_metal_threads4_leiden_seed4.png","success",,0.143417358398438
"MetRef","metal",4,"leiden",17,873,20972,0.029,0.612432013663801,12,0.35790236064236,0.611215235459692,"success",0.103,0.612432013663822,12,1,1,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_leiden_seed17_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_metal_threads4_leiden_seed17.png","success",,0.140289306640625
"MetRef","metal",4,"leiden",42,873,20972,0.023,0.612432013663801,12,0.35790236064236,0.611215235459692,"success",0.104,0.611685877375693,12,0.977102373286279,0.984447787638619,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_leiden_seed42_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_metal_threads4_leiden_seed42.png","success",,0.140533447265625
"MetRef","metal",4,"walktrap",4,873,20972,0.41,0.576443976886052,13,0.259926199041689,0.580694771497127,"success",0.163,0.583924217276553,13,0.843111630909572,0.909320553684714,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_walktrap_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/MetRef_metal_threads4_walktrap_seed4.png","success",,0.156173706054688
"COIL20","cpu",1,"louvain",4,1440,27945,0.012,0.893906295179391,16,0.681443961435934,0.849696082898122,"success",0.099,0.894508954759898,16,0.900716681255711,0.951476402970274,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_louvain_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/COIL20_cpu_threads1_louvain_seed4.png","success",,0.14678955078125
"COIL20","cpu",1,"louvain",17,1440,27945,0.013,0.894429381948333,16,0.674052441447406,0.846503648702672,"success",0.1,0.89332628432657,16,0.89361733949652,0.94773628341799,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_louvain_seed17_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/COIL20_cpu_threads1_louvain_seed17.png","success",,0.1461181640625
"COIL20","cpu",1,"louvain",42,1440,27945,0.013,0.894524272767099,16,0.662897641848062,0.83657548917548,"success",0.102,0.893119678992786,16,0.891581425477434,0.946265745622951,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_louvain_seed42_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/COIL20_cpu_threads1_louvain_seed42.png","success",,0.146530151367188
"COIL20","cpu",1,"leiden",4,1440,27945,0.026,0.894641161894652,16,0.667510272945477,0.838852840895121,"success",0.108,0.894601855412969,16,0.981093354717852,0.988147951694336,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_leiden_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/COIL20_cpu_threads1_leiden_seed4.png","success",,0.1453857421875
"COIL20","cpu",1,"leiden",17,1440,27945,0.029,0.894660532743088,16,0.663799212369112,0.836610907534854,"success",0.223,0.894568163495663,16,0.98082517928312,0.988108636343018,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_leiden_seed17_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/COIL20_cpu_threads1_leiden_seed17.png","success",,0.1461181640625
"COIL20","cpu",1,"leiden",42,1440,27945,0.025,0.894699527675883,16,0.665622786702787,0.837668948789026,"success",0.108,0.894699527675907,16,1,1,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_leiden_seed42_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/COIL20_cpu_threads1_leiden_seed42.png","success",,0.144546508789062
"COIL20","cpu",1,"walktrap",4,1440,27945,0.215,0.886105066684072,16,0.587427406259192,0.81105789178155,"success",0.169,0.886105066684093,16,1,1,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_walktrap_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/COIL20_cpu_threads1_walktrap_seed4.png","success",,0.17474365234375
"COIL20","cpu",4,"louvain",4,1440,27945,0.012,0.893906295179391,16,0.681443961435934,0.849696082898122,"success",0.101,0.894508954759898,16,0.900716681255711,0.951476402970274,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t4_louvain_seed4_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/COIL20_cpu_threads4_louvain_seed4.png","success",,0.148300170898438
"COIL20","cpu",4,"louvain",17,1440,27945,0.013,0.894429381948333,16,0.674052441447406,0.846503648702672,"success",0.102,0.89332628432657,16,0.89361733949652,0.94773628341799,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t4_louvain_seed17_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/COIL20_cpu_threads4_louvain_seed17.png","success",,0.144882202148438
"COIL20","cpu",4,"louvain",42,1440,27945,0.013,0.894524272767099,16,0.662897641848062,0.83657548917548,"success",0.104,0.893119678992786,16,0.891581425477434,0.946265745622951,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t4_louvain_seed42_membership.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/plots/COIL20_cpu_threads4_louvain_seed42.png","success",,0.144515991210938
