"dataset","method","native_vs_igraph_ari","native_vs_igraph_nmi","native_runtime_sec","igraph_runtime_sec"
"COIL20","leiden",0.981093354717852,0.988147951694336,0.027,0.11
"COIL20","louvain",0.89361733949652,0.94773628341799,0.013,0.102
"COIL20","walktrap",1,1,0.215,0.17
"Macosko2015_retina","leiden",0.720982206504091,0.874687016156024,5.012,3.185
"Macosko2015_retina","louvain",0.70693046108244,0.86073298996321,0.728,4.648
"MetRef","leiden",0.962122405389036,0.973987284912408,0.028,0.103
"MetRef","louvain",0.956982085716262,0.967902392112132,0.01,0.098
"MetRef","walktrap",0.816487069404116,0.896931415844923,0.41,0.166
"USPS","leiden",0.915703701732823,0.941243957255007,0.644,0.51
"USPS","louvain",0.811190305749778,0.876632010325666,0.138,0.587
