"dataset","backend","threads","n","p","k","input_file","knn_sec","snn_graph_sec","umap_graph_sec","umap_init_sec","umap_init_total_sec","umap_optimizer_sec","common_cpu_init_metal_optimizer_sec","n_edges","graph_object_mb","graph_file","initialization_file","layout_file","common_init_layout_file","labels_file","status","error","peak_ram_gb"
"MetRef","cpu",1,873,375,30,"/Users/stefano/Documents/fastEmbedR/Data/MetRef/MetRef_float32.RData",0.201,0.006,0.0119999999999999,0.016,0.071,0.542,,20974,0.323638916015625,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_graph.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_umap_init.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_layout.rds",,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t1_labels.rds","success",,0.0860443115234375
"MetRef","cpu",4,873,375,30,"/Users/stefano/Documents/fastEmbedR/Data/MetRef/MetRef_float32.RData",0.149,0.005,0.016,0.012,0.083,0.103,,20974,0.323638916015625,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_graph.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_umap_init.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_layout.rds",,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_cpu_t4_labels.rds","success",,0.0853118896484375
"MetRef","metal",4,873,375,30,"/Users/stefano/Documents/fastEmbedR/Data/MetRef/MetRef_float32.RData",0.091,0.004,0.01,0.025,0.081,0.214,0.203,20972,0.3236083984375,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_graph.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_umap_init.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_layout.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_common_init_layout.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/MetRef_metal_t4_labels.rds","success",,0.0989227294921875
"COIL20","cpu",1,1440,16384,30,"/Users/stefano/Documents/fastEmbedR/Data/COIL20/COIL20_float32.RData",4.869,0.00800000000000001,0.0140000000000002,0.0199999999999996,0.0790000000000006,0.787999999999999,,27945,0.430015563964844,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_graph.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_umap_init.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_layout.rds",,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t1_labels.rds","success",,0.280288696289062
"COIL20","cpu",4,1440,16384,30,"/Users/stefano/Documents/fastEmbedR/Data/COIL20/COIL20_float32.RData",2.495,0.00499999999999989,0.0129999999999999,0.0130000000000003,0.0710000000000002,0.111,,27945,0.430015563964844,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t4_graph.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t4_umap_init.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t4_layout.rds",,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_cpu_t4_labels.rds","success",,0.274887084960938
"COIL20","metal",4,1440,16384,30,"/Users/stefano/Documents/fastEmbedR/Data/COIL20/COIL20_float32.RData",2.066,0.00500000000000034,0.0129999999999999,0.0169999999999999,0.0739999999999998,0.187,0.183,27947,0.430046081542969,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_metal_t4_graph.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_metal_t4_umap_init.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_metal_t4_layout.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_metal_t4_common_init_layout.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/COIL20_metal_t4_labels.rds","success",,0.370559692382812
"USPS","cpu",1,11000,256,30,"/Users/stefano/Documents/fastEmbedR/Data/USPS/USPS_float32.RData",2.155,0.077,0.056,0.0569999999999999,0.154,2.47,,232346,3.54891967773438,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_cpu_t1_graph.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_cpu_t1_umap_init.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_cpu_t1_layout.rds",,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_cpu_t1_labels.rds","success",,0.146194458007812
"USPS","cpu",4,11000,256,30,"/Users/stefano/Documents/fastEmbedR/Data/USPS/USPS_float32.RData",1.251,0.0389999999999999,0.0290000000000001,0.0329999999999999,0.105,0.872,,232346,3.54891967773438,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_cpu_t4_graph.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_cpu_t4_umap_init.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_cpu_t4_layout.rds",,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_cpu_t4_labels.rds","success",,0.142333984375
"USPS","metal",4,11000,256,30,"/Users/stefano/Documents/fastEmbedR/Data/USPS/USPS_float32.RData",0.425,0.039,0.029,0.082,0.152,0.133,0.132,232818,3.55612182617188,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_metal_t4_graph.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_metal_t4_umap_init.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_metal_t4_layout.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_metal_t4_common_init_layout.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/USPS_metal_t4_labels.rds","success",,0.194549560546875
"Macosko2015_retina","cpu",1,44808,50,30,"/Users/stefano/Documents/fastEmbedR/Data/Macosko2015_retina/Macosko2015_retina_float32.RData",6.151,0.359,0.206,0.419,0.668,11.978,,1094040,16.6973266601562,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/Macosko2015_retina_cpu_t1_graph.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/Macosko2015_retina_cpu_t1_umap_init.rds","/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/Macosko2015_retina_cpu_t1_layout.rds",,"/Users/stefano/Documents/umap/results/local_graph_clustering_full_20260726/cache/Macosko2015_retina_cpu_t1_labels.rds","success",,0.3424072265625
