"dataset","seed","reference","candidate","backend","procrustes_rmsd","procrustes_correlation","reference_runtime_sec","candidate_runtime_sec","reference_peak_ram_gb","candidate_peak_ram_gb"
"MetRef",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.001920059271279,0.998390787050321,0.381,0.411,0.2261962890625,0.224380493164062
"MetRef",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.001920059271279,0.998390787050321,0.381,0.531,0.2261962890625,0.228134155273438
"MetRef",4,"irlba::prcomp_irlba","fastEmbedR_pca_metal","metal",0.000860119672096452,0.999677074746332,0.381,0.121,0.2261962890625,0.146347045898438
"MetRef",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00234312738813348,0.997603507639761,0.363,0.397,0.228240966796875,0.229995727539062
"MetRef",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00234312738813348,0.997603507639761,0.363,0.411,0.228240966796875,0.231781005859375
"MetRef",17,"irlba::prcomp_irlba","fastEmbedR_pca_metal","metal",0.00104063597406887,0.999527304009876,0.363,0.088,0.228240966796875,0.146087646484375
"MetRef",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.0016152923718268,0.998861097536611,0.364,0.406,0.225936889648438,0.228713989257812
"MetRef",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.0016152923718268,0.998861097536611,0.364,0.418,0.225936889648438,0.230453491210938
"MetRef",42,"irlba::prcomp_irlba","fastEmbedR_pca_metal","metal",0.00212746492235964,0.998024354296304,0.364,0.089,0.225936889648438,0.145339965820312
"COIL20",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000118705499331978,0.999989854483189,1.177,0.994,0.529876708984375,0.774505615234375
"COIL20",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000118705499331978,0.999989854483189,1.177,0.868,0.529876708984375,0.7864990234375
"COIL20",4,"irlba::prcomp_irlba","fastEmbedR_pca_metal","metal",7.22345541804689e-05,0.999996243161811,1.177,0.202,0.529876708984375,0.283096313476562
"COIL20",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",3.60940245463616e-05,0.9999990619994,1.043,1.007,0.68328857421875,0.777191162109375
"COIL20",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",3.60940245463616e-05,0.9999990619994,1.043,1.05,0.68328857421875,0.734024047851562
"COIL20",17,"irlba::prcomp_irlba","fastEmbedR_pca_metal","metal",7.12707508886053e-05,0.999996342745647,1.043,0.146,0.68328857421875,0.281005859375
"COIL20",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",9.59975127216148e-05,0.999993364823837,1.058,0.869,0.671249389648438,0.792510986328125
"COIL20",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",9.59975127216148e-05,0.999993364823837,1.058,0.894,0.671249389648438,0.771377563476562
"COIL20",42,"irlba::prcomp_irlba","fastEmbedR_pca_metal","metal",9.47473271568843e-05,0.999993536519677,1.058,0.141,0.671249389648438,0.287796020507812
"USPS",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00030437764538699,0.999490448369431,0.574,0.541,0.245071411132812,0.293655395507812
"USPS",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00030437764538699,0.999490448369431,0.574,0.527,0.245071411132812,0.294296264648438
"USPS",4,"irlba::prcomp_irlba","fastEmbedR_pca_metal","metal",0.000172662467303718,0.999836032198118,0.574,0.15,0.245071411132812,0.15960693359375
"USPS",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000798484179672369,0.99649332658148,0.774,0.502,0.244659423828125,0.291656494140625
"USPS",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000798484179672369,0.99649332658148,0.774,0.512,0.244659423828125,0.289932250976562
"USPS",17,"irlba::prcomp_irlba","fastEmbedR_pca_metal","metal",0.000325240413658946,0.999418202703282,0.774,0.095,0.244659423828125,0.157928466796875
"USPS",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000384846564368013,0.999185412170413,0.562,0.505,0.25372314453125,0.291793823242188
"USPS",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000384846564368013,0.999185412170413,0.562,0.502,0.25372314453125,0.294692993164062
"USPS",42,"irlba::prcomp_irlba","fastEmbedR_pca_metal","metal",0.00098819342926267,0.994629105604993,0.562,0.086,0.25372314453125,0.158203125
"Macosko2015_retina",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.40928395566515e-05,0.999995550383511,0.461,0.533,0.2335205078125,0.2833251953125
"Macosko2015_retina",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.40928395566515e-05,0.999995550383511,0.461,0.497,0.2335205078125,0.280685424804688
