"dataset","runtime_candidate","trust_candidate","preserve30_candidate","label_accuracy_candidate","peak_ram_gb_candidate","runtime_reference","trust_reference","preserve30_reference","label_accuracy_reference","peak_ram_gb_reference","speedup","trust_delta","preserve30_delta","label_accuracy_delta","ram_ratio","candidate","reference","family"
"COIL20",16.438,0.905713000449843,0.574358974358974,0.576923076923077,1.01515197753906,8.238,0.844871794871795,0.527991452991453,0.58974358974359,1.58675765991211,0.501155858376932,0.0608412055780481,0.046367521367521,-0.012820512820513,0.639764976836658,"fastEmbedR_opentsne_cpu_full","Rtsne_full","t-SNE"
"FashionMNIST",69.958,0.962753205479008,0.553174603174603,0.736694677871149,1.74129486083984,101.257,0.924170169756277,0.515686274509804,0.714285714285714,2.63107681274414,1.44739700963435,0.038583035722731,0.037488328664799,0.022408963585435,0.661818329440454,"fastEmbedR_opentsne_cpu_full","Rtsne_full","t-SNE"
"MNIST",69.556,0.923649266749633,0.477124183006536,0.952380952380952,1.74161148071289,125.833,0.906553648955964,0.468534080298786,0.956582633053221,2.14950942993164,1.80908907930301,0.017095617793669,0.00859010270774996,-0.004201680672269,0.810236724929501,"fastEmbedR_opentsne_cpu_full","Rtsne_full","t-SNE"
"Macosko2015_retina",19.013,0.925181301635475,0.418516666666667,0.9675,0.607166290283203,52.268,0.919542286292362,0.4127,0.9675,0.546253204345703,2.74906642823331,0.00563901534311295,0.00581666666666697,0,1.11151071600662,"fastEmbedR_opentsne_cpu_full","Rtsne_full","t-SNE"
"MetRef",1.761,0.884126586258788,0.442764413898435,0.707903780068729,0.517345428466797,0.878,0.878097163263931,0.412600229095074,0.698739977090493,0.417247772216797,0.498580352072686,0.00602942299485709,0.030164184803361,0.00916380297823605,1.23989979795025,"fastEmbedR_opentsne_cpu_full","Rtsne_full","t-SNE"
"TabulaMuris",48.91,0.97680944191536,0.61795,0.84,0.698776245117188,105.214,0.93335397066262,0.562966666666667,0.814,0.586219787597656,2.15117562870579,0.04345547125274,0.054983333333333,0.026,1.19200385231074,"fastEmbedR_opentsne_cpu_full","Rtsne_full","t-SNE"
"USPS",12.508,0.948599271936974,0.453973333333333,0.74,0.563934326171875,12.193,0.942293985330073,0.45736,0.7592,0.517940521240234,0.974816117684682,0.006305286606901,-0.00338666666666698,-0.0192,1.0888013257227,"fastEmbedR_opentsne_cpu_full","Rtsne_full","t-SNE"
"flow18",356.27,0.975126740853145,0.4387,0.955,1.94469833374023,1925.527,0.77698406676783,0.2256,0.7445,3.26904678344727,5.40468464928285,0.198142674085315,0.2131,0.2105,0.594882380878474,"fastEmbedR_opentsne_cpu_full","Rtsne_full","t-SNE"
"mass41",339.476,0.973045624683864,0.409116666666667,0.879,1.94624328613281,2307.297,0.868080374304502,0.29875,0.762,3.40436553955078,6.79664247251647,0.104965250379362,0.110366666666667,0.117,0.571690455540689,"fastEmbedR_opentsne_cpu_full","Rtsne_full","t-SNE"
"COIL20",6.42,0.9052888631836,0.572222222222222,0.576923076923077,1.24110412597656,8.238,0.844871794871795,0.527991452991453,0.58974358974359,1.58675765991211,1.28317757009346,0.060417068311805,0.044230769230769,-0.012820512820513,0.782163626703592,"fastEmbedR_opentsne_cuda_full","Rtsne_full","t-SNE"
"FashionMNIST",1.868,0.965552839563225,0.5562558356676,0.742296918767507,1.45217895507812,101.257,0.924170169756277,0.515686274509804,0.714285714285714,2.63107681274414,54.2061027837259,0.041382669806948,0.040569561157796,0.0280112044817931,0.551933317964798,"fastEmbedR_opentsne_cuda_full","Rtsne_full","t-SNE"
