"implementation","backend","seed","common_affinity_kl","reported_kl","elapsed_sec"
"fastEmbedR","cpu",4,1.92323561876031,NA,1.932
"fastEmbedR","cpu",17,1.94068516886216,NA,1.993
"fastEmbedR","cpu",42,1.90080303638284,NA,1.787
"fastEmbedR","cuda",4,1.77238089495066,NA,0.403
"fastEmbedR","cuda",17,1.74256288262131,NA,0.116
"fastEmbedR","cuda",42,1.76154403794272,NA,0.116
"fastEmbedR","metal",4,1.8993263702529,NA,1.955
"fastEmbedR","metal",17,1.91629003232862,NA,1.222
"fastEmbedR","metal",42,1.89663054537333,NA,0.868
"Python openTSNE","python_cpu",4,1.75626490352525,1.75834507750529,6.33024370900239
"Python openTSNE","python_cpu",17,1.78496838748871,1.78682060726127,6.67615495898644
"Python openTSNE","python_cpu",42,1.76629004321077,1.76836073998602,7.47004083299544
