"dataset","seed","reference","candidate","backend","procrustes_rmsd","procrustes_correlation","reference_runtime_sec","candidate_runtime_sec","reference_peak_ram_gb","candidate_peak_ram_gb","suite","profile","source_file"
"COIL20",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00449279517954827,0.985466649861732,1.209,1.662,0.589962005615234,0.994487762451172,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu1/20260721_084502_1071167/pca_vs_irlba_agreement.csv"
"COIL20",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00443872182944204,0.985814378935001,1.197,1.735,0.584339141845703,0.989215850830078,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu1/20260721_084502_1071167/pca_vs_irlba_agreement.csv"
"COIL20",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00445513575222838,0.985709271109036,1.055,1.73,0.58990478515625,1.007080078125,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu1/20260721_084502_1071167/pca_vs_irlba_agreement.csv"
"COIL20",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00449279517928393,0.985466649863442,1.674,1.794,0.596282958984375,1.02974700927734,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/pca_vs_irlba_agreement.csv"
"COIL20",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00443872182962186,0.985814378933851,1.076,1.669,0.5965576171875,1.01764297485352,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/pca_vs_irlba_agreement.csv"
"COIL20",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00445513575232458,0.985709271108419,1.115,1.786,0.596408843994141,1.0174446105957,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/pca_vs_irlba_agreement.csv"
"FashionMNIST",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000421940548864009,0.993768816062852,1.971,2.495,1.15171813964844,1.68910598754883,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu1/20260721_084502_1071168/pca_vs_irlba_agreement.csv"
"FashionMNIST",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000421345183003781,0.993786388286583,1.932,2.382,1.15211868286133,1.68898010253906,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu1/20260721_084502_1071168/pca_vs_irlba_agreement.csv"
"FashionMNIST",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000421490027171949,0.993782115494811,1.963,2.519,1.15192794799805,1.69333267211914,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu1/20260721_084502_1071168/pca_vs_irlba_agreement.csv"
"FashionMNIST",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000421940554322763,0.993768815901623,1.47,2.509,1.15816497802734,1.70283126831055,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/pca_vs_irlba_agreement.csv"
"FashionMNIST",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00042134494963301,0.993786395169656,1.733,2.376,1.1583251953125,1.69567489624023,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/pca_vs_irlba_agreement.csv"
"FashionMNIST",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000421490061853277,0.993782114471562,1.472,2.427,1.15824890136719,1.70040130615234,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/pca_vs_irlba_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000185781635851382,0.909910341346189,5.039,9.249,3.57666778564453,5.01229858398438,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cpu1/20260721_084502_1071170/pca_vs_irlba_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000186079148697334,0.909621569080895,5.004,6.576,3.57708740234375,4.73947906494141,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cpu1/20260721_084502_1071170/pca_vs_irlba_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000186711613168097,0.909006150433519,4.96,6.543,3.53401947021484,4.76559066772461,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cpu1/20260721_084502_1071170/pca_vs_irlba_agreement.csv"
