"dataset","method","backend","profile","n_runs","runtime_sec_median","runtime_sec_q1","runtime_sec_q3","trustworthiness_median","nn_preservation_median","silhouette_median","label_accuracy_median"
"COIL20","python_opentsne_fft","cpu","cpu1",3,48.622,48.247,51.8855,0.982876185995452,0.738171296296296,0.423443953116226,0.911111111111111
"FashionMNIST","python_opentsne_fft","cpu","cpu1",3,224.514,219.848,231.4635,0.961271981487702,0.424233333333333,0.12194595111857,0.795666666666667
"MNIST","python_opentsne_fft","cpu","cpu1",3,255.864,247.836,260.7805,0.95902389430075,0.408155555555556,0.348632382050818,0.967
"Macosko2015_retina","python_opentsne_fft","cpu","cpu1",3,101.381,99.994,102.37,0.93545321539208,0.3935,0.129083404193339,0.973333333333333
"MetRef","python_opentsne_fft","cpu","cpu1",3,16.063,15.5925,18.48,0.872889248253712,0.411798396334479,0.0406110633069737,0.72737686139748
"TabulaMuris","python_opentsne_fft","cpu","cpu1",3,161.873,153.9475,164.863,0.986255342813421,0.617677777777778,-0.0298359964435511,0.858333333333333
"USPS","python_opentsne_fft","cpu","cpu1",3,64.396,63.0045,64.9005,0.966588489530848,0.441755555555556,0.181496364597705,0.742666666666667
"COIL20","python_opentsne_fft_direct","cpu","cpu1",3,43.9867194304243,43.0963071035222,46.2868155576289,0.982876185995452,0.738171296296296,0.423443952745551,0.911111111111111
"FashionMNIST","python_opentsne_fft_direct","cpu","cpu1",3,211.274181887507,210.358825432137,222.621528750286,0.961271981487702,0.424233333333333,0.121945951014412,0.795666666666667
"MNIST","python_opentsne_fft_direct","cpu","cpu1",3,233.681618916802,231.560543170199,247.337231875863,0.95902389430075,0.408155555555556,0.348632382129469,0.967
"Macosko2015_retina","python_opentsne_fft_direct","cpu","cpu1",3,94.7841591434553,91.2448599739,95.3610755465924,0.93545321539208,0.3935,0.129083406591676,0.973333333333333
"MetRef","python_opentsne_fft_direct","cpu","cpu1",3,12.9678876427934,12.4912197762169,13.2640635827557,0.872889248253712,0.411798396334479,0.0406110627049813,0.72737686139748
"TabulaMuris","python_opentsne_fft_direct","cpu","cpu1",3,149.076947737485,145.900938552804,155.458193932194,0.986255342813421,0.617677777777778,-0.0298359954868798,0.858333333333333
"USPS","python_opentsne_fft_direct","cpu","cpu1",3,57.6586806597188,57.2077232324518,58.8505132081918,0.966588489530848,0.441755555555556,0.181496364879163,0.742666666666667
"COIL20","python_umap_learn","cpu","cpu1",3,19.906,19.4395,20.8565,0.983754998823806,0.734953703703704,0.471931690402941,0.820833333333333
"FashionMNIST","python_umap_learn","cpu","cpu1",3,73.755,73.4325,78.5475,0.955051767252641,0.417122222222222,0.203744984672119,0.768
"MNIST","python_umap_learn","cpu","cpu1",3,70.775,68.8605,74.679,0.949753599820849,0.423422222222222,0.516297366369848,0.965666666666667
"Macosko2015_retina","python_umap_learn","cpu","cpu1",3,53.987,52.348,54.7795,0.928278214459,0.386811111111111,0.286814656439665,0.973333333333333
"MetRef","python_umap_learn","cpu","cpu1",3,12.796,12.669,12.8655,0.853037755766682,0.412142038946163,0.144821560304734,0.720504009163803
"TabulaMuris","python_umap_learn","cpu","cpu1",3,113.119,113.08,118.6705,0.991420244093607,0.652355555555556,0.0596138290020064,0.849333333333333
"USPS","python_umap_learn","cpu","cpu1",3,24.669,24.4345,24.894,0.920026790579629,0.364777777777778,0.0990329148369315,0.725333333333333
"COIL20","python_umap_learn_direct","cpu","cpu1",3,18.6794248446822,17.7680282592774,19.1267514824867,0.983754998823806,0.734953703703704,0.471931690402941,0.820833333333333
"FashionMNIST","python_umap_learn_direct","cpu","cpu1",3,72.6529015488923,71.0362955257297,76.5812152945437,0.955051767252641,0.417122222222222,0.203744984672119,0.768
"MNIST","python_umap_learn_direct","cpu","cpu1",3,69.2109111566097,67.4855951126665,72.7241195817478,0.949753599820849,0.423422222222222,0.516297366369848,0.965666666666667
"Macosko2015_retina","python_umap_learn_direct","cpu","cpu1",3,54.6865378031507,52.1554624163546,56.6314081475139,0.928278214459,0.386811111111111,0.286814656439665,0.973333333333333
"MetRef","python_umap_learn_direct","cpu","cpu1",3,11.1250476166606,11.0696724164299,11.1874049035832,0.853037755766682,0.412142038946163,0.144821560304734,0.720504009163803
"TabulaMuris","python_umap_learn_direct","cpu","cpu1",3,110.506315860897,110.180238960777,116.059978553094,0.991420244093607,0.652355555555556,0.0596138290020064,0.849333333333333
"USPS","python_umap_learn_direct","cpu","cpu1",3,23.3548245886341,23.1986952186562,23.4166194102727,0.920026790579629,0.364777777777778,0.0990329148369315,0.725333333333333
"COIL20","python_opentsne_fft","cpu","cpu4",3,36.631,35.3375,38.602,0.98163157688387,0.733078703703704,0.410865024930904,0.892361111111111
"FashionMNIST","python_opentsne_fft","cpu","cpu4",3,120.127,119.67,121.907,0.96072138245064,0.423788888888889,0.123075323068459,0.793
"MNIST","python_opentsne_fft","cpu","cpu4",3,156.313,156.0345,157.226,0.958728287239204,0.408244444444444,0.349602737646241,0.968666666666667
"Macosko2015_retina","python_opentsne_fft","cpu","cpu4",3,75.343,72.79,78.1375,0.934777785242414,0.394133333333333,0.12555529929577,0.973666666666667
"MetRef","python_opentsne_fft","cpu","cpu4",3,18.305,18.0775,22.2015,0.872424859061609,0.412065673921344,0.040806553957966,0.728522336769759
"TabulaMuris","python_opentsne_fft","cpu","cpu4",3,94.445,92.86,97.795,0.985790975254731,0.617622222222222,-0.0288980710457404,0.859333333333333
"USPS","python_opentsne_fft","cpu","cpu4",2,47.8005,47.11975,48.48125,0.965957492628672,0.443077777777778,0.185661496941341,0.736166666666667
"flow18","python_opentsne_fft","cpu","cpu4",3,622.765,594.62,640.053,0.977624469077744,0.400922222222222,0.0692979146450861,0.954666666666667
"mass41","python_opentsne_fft","cpu","cpu4",3,576.581,533.587,605.0825,0.974051140223193,0.354188888888889,0.178568798570067,0.877333333333333
"COIL20","python_opentsne_fft_direct","cpu","cpu4",3,30.9538748310879,30.3245661696419,32.018502243096,0.98163157688387,0.733078703703704,0.410865023508728,0.892361111111111
"FashionMNIST","python_opentsne_fft_direct","cpu","cpu4",3,109.011737803929,108.550643150462,111.20113939885,0.96072138245064,0.423788888888889,0.123075323130492,0.793
"MNIST","python_opentsne_fft_direct","cpu","cpu4",3,149.059720859863,147.878489239957,150.988541688421,0.958728287239204,0.408244444444444,0.349602738008422,0.968666666666667
"Macosko2015_retina","python_opentsne_fft_direct","cpu","cpu4",3,65.9533350327983,64.160100797424,67.6423673573881,0.934777785242414,0.394133333333333,0.125555299566036,0.973666666666667
"MetRef","python_opentsne_fft_direct","cpu","cpu4",3,15.593038574094,14.6339892125688,15.6910352250562,0.872424859061609,0.412065673921344,0.0408065546449177,0.728522336769759
"TabulaMuris","python_opentsne_fft_direct","cpu","cpu4",3,87.8777839019895,87.6628818300087,89.9889848229941,0.985790975254731,0.617622222222222,-0.0288980723433135,0.859333333333333
"USPS","python_opentsne_fft_direct","cpu","cpu4",3,44.5203884639777,43.9677056154469,44.5263945724582,0.965922539469264,0.439955555555556,0.182849632500419,0.735
"flow18","python_opentsne_fft_direct","cpu","cpu4",3,610.252521623857,604.671843291027,618.028243823908,0.977624469077744,0.400911111111111,0.0692979153791194,0.954666666666667
"mass41","python_opentsne_fft_direct","cpu","cpu4",3,572.086173487362,555.876685773022,588.16974529135,0.974051140223193,0.354188888888889,0.178568798846049,0.877333333333333
"COIL20","python_umap_learn","cpu","cpu4",3,20.974,20.8005,21.005,0.983754998823806,0.734953703703704,0.471931690402941,0.820833333333333
"FashionMNIST","python_umap_learn","cpu","cpu4",3,79.73,77.004,80.1735,0.955274288060314,0.417622222222222,0.203744984672119,0.768
"MNIST","python_umap_learn","cpu","cpu4",3,83.356,83.1485,84.211,0.94962180420259,0.423566666666667,0.516297366369848,0.962
"Macosko2015_retina","python_umap_learn","cpu","cpu4",3,50.987,50.5515,51.574,0.930304251110365,0.3892,0.322332970373575,0.973666666666667
"MetRef","python_umap_learn","cpu","cpu4",3,15.081,14.6945,15.102,0.853037755766682,0.412142038946163,0.144821560304734,0.720504009163803
"TabulaMuris","python_umap_learn","cpu","cpu4",3,90.442,88.7825,93.868,0.990739013921547,0.650544444444444,0.0395932299621641,0.841
"USPS","python_umap_learn","cpu","cpu4",3,22.939,22.5165,23.2385,0.920026790579629,0.364777777777778,0.0990329148369315,0.725333333333333
"flow18","python_umap_learn","cpu","cpu4",3,1143.379,1106.332,1154.2565,0.96604316799164,0.376344444444444,0.383402471954305,0.953666666666667
"mass41","python_umap_learn","cpu","cpu4",3,1118.253,1084.5035,1118.6075,0.968730444519091,0.345066666666667,0.297413451650655,0.892666666666667
"COIL20","python_umap_learn_direct","cpu","cpu4",3,19.3118180399761,18.3453930753749,19.388034429634,0.983754998823806,0.734953703703704,0.471931690402941,0.820833333333333
"FashionMNIST","python_umap_learn_direct","cpu","cpu4",3,77.2495644148439,73.1501032384112,77.4797252453863,0.955274288060314,0.417622222222222,0.203744984672119,0.768
"MNIST","python_umap_learn_direct","cpu","cpu4",3,81.752477925038,81.6330028244993,82.3135749894427,0.94962180420259,0.423566666666667,0.516297366369848,0.962
"Macosko2015_retina","python_umap_learn_direct","cpu","cpu4",3,49.5112347989343,49.3873907953966,49.5538525304291,0.930304251110365,0.3892,0.322332970373575,0.973666666666667
"MetRef","python_umap_learn_direct","cpu","cpu4",3,12.4954642071389,12.3284325001296,12.7064031065674,0.853037755766682,0.412142038946163,0.144821560304734,0.720504009163803
"TabulaMuris","python_umap_learn_direct","cpu","cpu4",3,85.8204787860159,85.7404421430547,87.7716002280359,0.990739013921547,0.650544444444444,0.0395932299621641,0.841
"USPS","python_umap_learn_direct","cpu","cpu4",3,21.3630882289726,20.9046891705365,21.4163335064659,0.920026790579629,0.364777777777778,0.0990329148369315,0.725333333333333
"flow18","python_umap_learn_direct","cpu","cpu4",3,1126.65822762297,1109.20507570845,1146.921354071,0.96604316799164,0.376344444444444,0.383402471954305,0.953666666666667
"mass41","python_umap_learn_direct","cpu","cpu4",3,1121.98841348523,1091.36205221363,1128.05325653544,0.968730444519091,0.345066666666667,0.297413451650655,0.892666666666667
"COIL20","rapids_cuml_tsne_full","cuda","cuda",3,5.812,5.8055,6.1385,0.983294388248517,0.728981481481481,0.339663029676983,0.890277777777778
"FashionMNIST","rapids_cuml_tsne_full","cuda","cuda",3,6.78,6.652,7.8165,0.533281401858694,0.0177333333333333,-0.108131605075949,0.176333333333333
"MNIST","rapids_cuml_tsne_full","cuda","cuda",3,6.433,6.4245,6.4445,0.964696928302168,0.425977777777778,0.368578119538394,0.956666666666667
"Macosko2015_retina","rapids_cuml_tsne_full","cuda","cuda",3,5.668,5.66,6.019,0.912050983465831,0.375388888888889,-0.112246753898975,0.951666666666667
"MetRef","rapids_cuml_tsne_full","cuda","cuda",3,5.048,5.0205,5.051,0.569725220672461,0.0653302787323406,-0.382326709024415,0.0985108820160367
"TabulaMuris","rapids_cuml_tsne_full","cuda","cuda",3,6.195,6.19,6.214,0.91389983951032,0.503555555555556,-0.185076866691763,0.771
"USPS","rapids_cuml_tsne_full","cuda","cuda",3,5.358,5.3545,5.3605,0.957862770126526,0.446233333333333,0.134789208725267,0.722
"COIL20","rapids_cuml_tsne_full_direct","cuda","cuda",3,2.11078825686127,2.10531478840858,2.12195726763457,0.982370455317703,0.731481481481482,0.335226418093741,0.883333333333333
"FashionMNIST","rapids_cuml_tsne_full_direct","cuda","cuda",3,2.91078185662627,2.86363128572702,2.94125327048823,0.69342996305005,0.0926888888888889,-0.0677677568471887,0.420333333333333
"FlowRepository_FR-FCM-ZYRM_files","rapids_cuml_tsne_full_direct","cuda","cuda",3,779.210353499278,766.009776502847,779.909238719381,0.878209756279625,0.145155555555556,-0.237698411583652,0.388
"MNIST","rapids_cuml_tsne_full_direct","cuda","cuda",3,2.71646160166711,2.71112602716312,2.72078189998865,0.964649184488486,0.426955555555556,0.362330923489126,0.956666666666667
"Macosko2015_retina","rapids_cuml_tsne_full_direct","cuda","cuda",3,2.26436308585107,2.26005031121895,2.26533065084368,0.893990281043556,0.376833333333333,-0.179761061882165,0.941
"MetRef","rapids_cuml_tsne_full_direct","cuda","cuda",3,1.59085529483855,1.58753224462271,1.59197025280446,0.56972297464232,0.065253913707522,-0.382327030526,0.0973654066437572
"TabulaMuris","rapids_cuml_tsne_full_direct","cuda","cuda",3,2.69658135436475,2.67737882537767,2.72798268869519,0.947137140297839,0.563644444444444,-0.136316370654188,0.825333333333333
"USPS","rapids_cuml_tsne_full_direct","cuda","cuda",3,1.94197330996394,1.94036589935422,1.95025413343683,0.956301653416937,0.442666666666667,0.132411639246517,0.725333333333333
"flow18","rapids_cuml_tsne_full_direct","cuda","cuda",3,34.3854468232021,34.3428668333218,34.3892163131386,0.980471167842347,0.419144444444444,0.0460799897059095,0.952333333333333
"imagenet","rapids_cuml_tsne_full_direct","cuda","cuda",3,166.472339186817,163.755921480245,168.255837560166,0.509125010263875,0.0178777777777778,-0.753528094007346,0.019
"mass41","rapids_cuml_tsne_full_direct","cuda","cuda",3,33.2783109210432,33.1297873556614,33.3134305784479,0.977010756540888,0.374222222222222,0.236284734277466,0.893
