"dataset","method","method_label","family","backend","profile","timing_interface","timing_scope","runtime_measure","n_runs","runtime","runtime_q1","runtime_q3","r_public_function_total_call_sec","r_mediated_total_call_sec","direct_python_fit_sec","direct_python_process_total_sec","dataset_label","display_label"
"MNIST","KlugerLab_FItSNE","FIt-SNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,116.486,114.558,116.6355,116.486,,,,"MNIST","FIt-SNE [CPU]"
"USPS","KlugerLab_FItSNE","FIt-SNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,18.494,18.4125,18.713,18.494,,,,"USPS","FIt-SNE [CPU]"
"FashionMNIST","KlugerLab_FItSNE","FIt-SNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,105.28,104.87,106.3135,105.28,,,,"Fashion-MNIST","FIt-SNE [CPU]"
"COIL20","KlugerLab_FItSNE","FIt-SNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,21.694,21.5315,21.754,21.694,,,,"COIL-20","FIt-SNE [CPU]"
"Macosko2015_retina","KlugerLab_FItSNE","FIt-SNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,36.717,36.684,37.5765,36.717,,,,"Retina","FIt-SNE [CPU]"
"TabulaMuris","KlugerLab_FItSNE","FIt-SNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,59.028,58.5645,61.0525,59.028,,,,"Tabula Muris","FIt-SNE [CPU]"
"mass41","KlugerLab_FItSNE","FIt-SNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,403.201,402.441,403.5115,403.201,,,,"mass41","FIt-SNE [CPU]"
"flow18","KlugerLab_FItSNE","FIt-SNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,464.383,455.6495,466.438,464.383,,,,"flow18","FIt-SNE [CPU]"
"MetRef","KlugerLab_FItSNE","FIt-SNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,5.548,5.1425,5.736,5.548,,,,"MetRef","FIt-SNE [CPU]"
"flow18","Rtsne_full","Rtsne","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1925.527,1893.5205,1970.9645,1925.527,,,,"flow18","Rtsne [CPU]"
"Macosko2015_retina","Rtsne_full","Rtsne","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,52.268,50.235,53.8065,52.268,,,,"Retina","Rtsne [CPU]"
"TabulaMuris","Rtsne_full","Rtsne","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,105.214,103.5255,109.9245,105.214,,,,"Tabula Muris","Rtsne [CPU]"
"USPS","Rtsne_full","Rtsne","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,12.193,12.161,12.968,12.193,,,,"USPS","Rtsne [CPU]"
"COIL20","Rtsne_full","Rtsne","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,8.238,8.194,8.609,8.238,,,,"COIL-20","Rtsne [CPU]"
"MetRef","Rtsne_full","Rtsne","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,0.878,0.864,0.879,0.878,,,,"MetRef","Rtsne [CPU]"
"mass41","Rtsne_full","Rtsne","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,2307.297,2278.5975,2461.8,2307.297,,,,"mass41","Rtsne [CPU]"
"FashionMNIST","Rtsne_full","Rtsne","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,101.257,98.6605,105.2145,101.257,,,,"Fashion-MNIST","Rtsne [CPU]"
"MNIST","Rtsne_full","Rtsne","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,125.833,125.2995,126.935,125.833,,,,"MNIST","Rtsne [CPU]"
"FashionMNIST","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,69.958,69.172,69.9805,69.958,,,,"Fashion-MNIST","fastEmbedR openTSNE [CPU]"
"flow18","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,356.27,356.091,358.955,356.27,,,,"flow18","fastEmbedR openTSNE [CPU]"
"MetRef","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1.761,1.753,1.767,1.761,,,,"MetRef","fastEmbedR openTSNE [CPU]"
"USPS","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,12.508,12.478,12.8965,12.508,,,,"USPS","fastEmbedR openTSNE [CPU]"
"Macosko2015_retina","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,19.013,18.328,19.028,19.013,,,,"Retina","fastEmbedR openTSNE [CPU]"
"TabulaMuris","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,48.91,47.3595,49.8775,48.91,,,,"Tabula Muris","fastEmbedR openTSNE [CPU]"
"mass41","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,339.476,335.8885,340.782,339.476,,,,"mass41","fastEmbedR openTSNE [CPU]"
"COIL20","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,16.438,16.356,17.3255,16.438,,,,"COIL-20","fastEmbedR openTSNE [CPU]"
"MNIST","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,69.556,68.632,69.6135,69.556,,,,"MNIST","fastEmbedR openTSNE [CPU]"
"imagenet","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1026.293,1022.584,1063.0515,1026.293,,,,"ImageNet","fastEmbedR openTSNE [CPU]"
