"dataset","method","method_label","family","backend","profile","timing_interface","timing_scope","runtime_measure","n_runs","runtime","runtime_q1","runtime_q3","r_public_function_total_call_sec","r_mediated_total_call_sec","direct_python_fit_sec","direct_python_process_total_sec","dataset_label","display_label"
"mass41","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,844.689,831.2275,846.19,844.689,,,,"mass41","fastEmbedR binary [CPU]"
"TabulaMuris","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,105.016,104.9,106.388,105.016,,,,"Tabula Muris","fastEmbedR binary [CPU]"
"MNIST","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,113.974,113.3575,114.453,113.974,,,,"MNIST","fastEmbedR binary [CPU]"
"MetRef","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,0.955,0.9475,0.958,0.955,,,,"MetRef","fastEmbedR binary [CPU]"
"FashionMNIST","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,121.761,119.985,123.1265,121.761,,,,"Fashion-MNIST","fastEmbedR binary [CPU]"
"imagenet","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,2140.43,2138.4165,2217.4195,2140.43,,,,"ImageNet","fastEmbedR binary [CPU]"
"Macosko2015_retina","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,65.488,64.2645,66.4585,65.488,,,,"Retina","fastEmbedR binary [CPU]"
"flow18","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,878.961,877.1695,881.754,878.961,,,,"flow18","fastEmbedR binary [CPU]"
"COIL20","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,13.705,13.4485,14.0435,13.705,,,,"COIL-20","fastEmbedR binary [CPU]"
"USPS","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,15.192,14.6225,15.254,15.192,,,,"USPS","fastEmbedR binary [CPU]"
"TabulaMuris","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,33.012,32.0025,33.3695,33.012,,,,"Tabula Muris","fastEmbedR fuzzy [CPU]"
"mass41","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,411.15,399.5725,414.45,411.15,,,,"mass41","fastEmbedR fuzzy [CPU]"
"FashionMNIST","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,47.722,47.275,49.5005,47.722,,,,"Fashion-MNIST","fastEmbedR fuzzy [CPU]"
"USPS","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,5.857,5.8335,5.9685,5.857,,,,"USPS","fastEmbedR fuzzy [CPU]"
"flow18","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,398.817,396.601,400.715,398.817,,,,"flow18","fastEmbedR fuzzy [CPU]"
"COIL20","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,13.469,13.447,13.8275,13.469,,,,"COIL-20","fastEmbedR fuzzy [CPU]"
"Macosko2015_retina","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,17.928,17.3765,18.6075,17.928,,,,"Retina","fastEmbedR fuzzy [CPU]"
"MetRef","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,0.669,0.665,0.6835,0.669,,,,"MetRef","fastEmbedR fuzzy [CPU]"
"MNIST","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,50.042,49.136,50.1945,50.042,,,,"MNIST","fastEmbedR fuzzy [CPU]"
"imagenet","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1166.129,1142.6765,1180.3525,1166.129,,,,"ImageNet","fastEmbedR fuzzy [CPU]"
"flow18","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,2.562,2.5545,2.564,2.562,,,,"flow18","fastEmbedR binary [CUDA]"
"TabulaMuris","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.981,0.969,1.042,0.981,,,,"Tabula Muris","fastEmbedR binary [CUDA]"
"MetRef","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.578,0.5725,0.5795,0.578,,,,"MetRef","fastEmbedR binary [CUDA]"
"Macosko2015_retina","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.698,0.697,0.711,0.698,,,,"Retina","fastEmbedR binary [CUDA]"
"FlowRepository_FR-FCM-ZYRM_files","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,81.348,81.2575,81.718,81.348,,,,"FlowRepository","fastEmbedR binary [CUDA]"
"MNIST","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,1.047,1.0415,1.0535,1.047,,,,"MNIST","fastEmbedR binary [CUDA]"
"mass41","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,3.009,2.967,3.0185,3.009,,,,"mass41","fastEmbedR binary [CUDA]"
"COIL20","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.615,0.608,0.6265,0.615,,,,"COIL-20","fastEmbedR binary [CUDA]"
"USPS","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.616,0.615,0.621,0.616,,,,"USPS","fastEmbedR binary [CUDA]"
"FashionMNIST","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,1.04,1.037,1.0475,1.04,,,,"Fashion-MNIST","fastEmbedR binary [CUDA]"
"COIL20","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.602,0.6,0.6175,0.602,,,,"COIL-20","fastEmbedR fuzzy [CUDA]"
"Macosko2015_retina","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.656,0.656,0.6675,0.656,,,,"Retina","fastEmbedR fuzzy [CUDA]"
"USPS","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.628,0.616,0.6345,0.628,,,,"USPS","fastEmbedR fuzzy [CUDA]"
"MetRef","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.58,0.5735,0.641,0.58,,,,"MetRef","fastEmbedR fuzzy [CUDA]"
"mass41","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,2.151,2.1435,2.1565,2.151,,,,"mass41","fastEmbedR fuzzy [CUDA]"
"flow18","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,1.77,1.7645,1.772,1.77,,,,"flow18","fastEmbedR fuzzy [CUDA]"
"TabulaMuris","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.891,0.8695,0.9395,0.891,,,,"Tabula Muris","fastEmbedR fuzzy [CUDA]"
"MNIST","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.991,0.977,0.9965,0.991,,,,"MNIST","fastEmbedR fuzzy [CUDA]"
"FlowRepository_FR-FCM-ZYRM_files","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,76.84,76.797,77.098,76.84,,,,"FlowRepository","fastEmbedR fuzzy [CUDA]"
"FashionMNIST","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.972,0.968,0.9745,0.972,,,,"Fashion-MNIST","fastEmbedR fuzzy [CUDA]"
"USPS","umap_package","umap","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,91.252,88.6555,95.805,91.252,,,,"USPS","umap [CPU]"
"TabulaMuris","umap_package","umap","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,837.215,828.3415,865.881,837.215,,,,"Tabula Muris","umap [CPU]"
"COIL20","umap_package","umap","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,40.474,39.704,41.0005,40.474,,,,"COIL-20","umap [CPU]"
"MetRef","umap_package","umap","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,3.827,3.802,3.9105,3.827,,,,"MetRef","umap [CPU]"
"MNIST","umap_package","umap","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1038.809,1038.5775,1061.974,1038.809,,,,"MNIST","umap [CPU]"
"FashionMNIST","umap_package","umap","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1188.269,1185.6455,1210.619,1188.269,,,,"Fashion-MNIST","umap [CPU]"
"Macosko2015_retina","umap_package","umap","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,465.905,455.8465,467.0055,465.905,,,,"Retina","umap [CPU]"
"mass41","uwot_default","uwot default","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,913.797,913.2705,913.8045,913.797,,,,"mass41","uwot default [CPU]"
"USPS","uwot_default","uwot default","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,9.936,9.8625,10.038,9.936,,,,"USPS","uwot default [CPU]"
"FashionMNIST","uwot_default","uwot default","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,78.885,77.2825,79.6105,78.885,,,,"Fashion-MNIST","uwot default [CPU]"
"flow18","uwot_default","uwot default","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1339.36,1320.773,1347.8855,1339.36,,,,"flow18","uwot default [CPU]"
"COIL20","uwot_default","uwot default","UMAP","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,22.766,22.738,22.9155,22.766,,,,"COIL-20","uwot default [CPU]"
