"dataset","requested_method","source_method","display","seed","profile","fallback_used","status","image_path"
"COIL20","Rtsne_full","Rtsne_full","Rtsne::Rtsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/plots/COIL20_Rtsne_full_threads4_seed4.png"
"COIL20","KlugerLab_FItSNE","KlugerLab_FItSNE","FIt-SNE",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/plots/COIL20_KlugerLab_FItSNE_threads4_seed4.png"
"COIL20","fastEmbedR_opentsne_cpu_full","fastEmbedR_opentsne_cpu_full","fastEmbedR::opentsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/plots/COIL20_fastEmbedR_opentsne_cpu_full_threads4_seed4.png"
"COIL20","uwot_fast_sgd","uwot_fast_sgd","uwot::umap (fast_sgd = TRUE)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/plots/COIL20_uwot_fast_sgd_threads4_seed4.png"
"COIL20","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR::umap (fuzzy)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/plots/COIL20_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png"
"COIL20","fastEmbedR_umap_cpu_binary_full","fastEmbedR_umap_cpu_binary_full","fastEmbedR::umap (binary)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/plots/COIL20_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png"
"USPS","Rtsne_full","Rtsne_full","Rtsne::Rtsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/plots/USPS_Rtsne_full_threads4_seed4.png"
"USPS","KlugerLab_FItSNE","KlugerLab_FItSNE","FIt-SNE",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/plots/USPS_KlugerLab_FItSNE_threads4_seed4.png"
"USPS","fastEmbedR_opentsne_cpu_full","fastEmbedR_opentsne_cpu_full","fastEmbedR::opentsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/plots/USPS_fastEmbedR_opentsne_cpu_full_threads4_seed4.png"
"USPS","uwot_fast_sgd","uwot_fast_sgd","uwot::umap (fast_sgd = TRUE)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/plots/USPS_uwot_fast_sgd_threads4_seed4.png"
"USPS","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR::umap (fuzzy)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/plots/USPS_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png"
"USPS","fastEmbedR_umap_cpu_binary_full","fastEmbedR_umap_cpu_binary_full","fastEmbedR::umap (binary)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/plots/USPS_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png"
"FashionMNIST","Rtsne_full","Rtsne_full","Rtsne::Rtsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/plots/FashionMNIST_Rtsne_full_threads4_seed4.png"
"FashionMNIST","KlugerLab_FItSNE","KlugerLab_FItSNE","FIt-SNE",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/plots/FashionMNIST_KlugerLab_FItSNE_threads4_seed4.png"
"FashionMNIST","fastEmbedR_opentsne_cpu_full","fastEmbedR_opentsne_cpu_full","fastEmbedR::opentsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/plots/FashionMNIST_fastEmbedR_opentsne_cpu_full_threads4_seed4.png"
"FashionMNIST","uwot_fast_sgd","uwot_fast_sgd","uwot::umap (fast_sgd = TRUE)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/plots/FashionMNIST_uwot_fast_sgd_threads4_seed4.png"
"FashionMNIST","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR::umap (fuzzy)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/plots/FashionMNIST_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png"
"FashionMNIST","fastEmbedR_umap_cpu_binary_full","fastEmbedR_umap_cpu_binary_full","fastEmbedR::umap (binary)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/plots/FashionMNIST_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png"
