"dataset","method","implementation","backend","runtime","quality","reference_runtime","reference_quality","speedup","quality_delta","panel","dataset_label","pareto_method"
"COIL20","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE CUDA","cuda",6.42,0.9052888631836,8.238,0.844871794871795,1.28317757009346,0.060417068311805,"t-SNE: trustworthiness difference vs Rtsne","COIL-20","openTSNE CUDA"
"COIL20","KlugerLab_FItSNE","FIt-SNE CPU (4 threads)","cpu",21.694,0.870143306985412,8.238,0.844871794871795,0.379736332626533,0.025271512113617,"t-SNE: trustworthiness difference vs Rtsne","COIL-20","FIt-SNE CPU4"
"COIL20","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE CPU (4 threads)","cpu",16.438,0.905713000449843,8.238,0.844871794871795,0.501155858376932,0.0608412055780481,"t-SNE: trustworthiness difference vs Rtsne","COIL-20","openTSNE CPU4"
"FashionMNIST","KlugerLab_FItSNE","FIt-SNE CPU (4 threads)","cpu",105.28,0.930558156692489,101.257,0.924170169756277,0.961787613981763,0.00638798693621201,"t-SNE: trustworthiness difference vs Rtsne","Fashion-MNIST","FIt-SNE CPU4"
"FashionMNIST","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE CPU (4 threads)","cpu",69.958,0.962753205479008,101.257,0.924170169756277,1.44739700963435,0.038583035722731,"t-SNE: trustworthiness difference vs Rtsne","Fashion-MNIST","openTSNE CPU4"
"FashionMNIST","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE CUDA","cuda",1.868,0.965552839563225,101.257,0.924170169756277,54.2061027837259,0.041382669806948,"t-SNE: trustworthiness difference vs Rtsne","Fashion-MNIST","openTSNE CUDA"
"MNIST","KlugerLab_FItSNE","FIt-SNE CPU (4 threads)","cpu",116.486,0.916664166872731,125.833,0.906553648955964,1.08024140240029,0.010110517916767,"t-SNE: trustworthiness difference vs Rtsne","MNIST","FIt-SNE CPU4"
"MNIST","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE CPU (4 threads)","cpu",69.556,0.923649266749633,125.833,0.906553648955964,1.80908907930301,0.017095617793669,"t-SNE: trustworthiness difference vs Rtsne","MNIST","openTSNE CPU4"
"MNIST","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE CUDA","cuda",1.938,0.924249082170254,125.833,0.906553648955964,64.9293085655315,0.01769543321429,"t-SNE: trustworthiness difference vs Rtsne","MNIST","openTSNE CUDA"
"Macosko2015_retina","KlugerLab_FItSNE","FIt-SNE CPU (4 threads)","cpu",36.717,0.92447376496375,52.268,0.919542286292362,1.42353678132745,0.00493147867138799,"t-SNE: trustworthiness difference vs Rtsne","Retina","FIt-SNE CPU4"
"Macosko2015_retina","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE CPU (4 threads)","cpu",19.013,0.925181301635475,52.268,0.919542286292362,2.74906642823331,0.00563901534311295,"t-SNE: trustworthiness difference vs Rtsne","Retina","openTSNE CPU4"
"Macosko2015_retina","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE CUDA","cuda",0.916,0.924561355589277,52.268,0.919542286292362,57.061135371179,0.00501906929691498,"t-SNE: trustworthiness difference vs Rtsne","Retina","openTSNE CUDA"
"MetRef","KlugerLab_FItSNE","FIt-SNE CPU (4 threads)","cpu",5.548,0.868530692001887,0.878,0.878097163263931,0.158255227108868,-0.00956647126204391,"t-SNE: trustworthiness difference vs Rtsne","MetRef","FIt-SNE CPU4"
"MetRef","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE CPU (4 threads)","cpu",1.761,0.884126586258788,0.878,0.878097163263931,0.498580352072686,0.00602942299485709,"t-SNE: trustworthiness difference vs Rtsne","MetRef","openTSNE CPU4"
"MetRef","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE CUDA","cuda",0.701,0.885633223277856,0.878,0.878097163263931,1.25249643366619,0.00753606001392504,"t-SNE: trustworthiness difference vs Rtsne","MetRef","openTSNE CUDA"
"TabulaMuris","KlugerLab_FItSNE","FIt-SNE CPU (4 threads)","cpu",59.028,0.977028662957343,105.214,0.93335397066262,1.78244223080572,0.043674692294723,"t-SNE: trustworthiness difference vs Rtsne","Tabula Muris","FIt-SNE CPU4"
"TabulaMuris","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE CPU (4 threads)","cpu",48.91,0.97680944191536,105.214,0.93335397066262,2.15117562870579,0.04345547125274,"t-SNE: trustworthiness difference vs Rtsne","Tabula Muris","openTSNE CPU4"
"TabulaMuris","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE CUDA","cuda",3.088,0.983247091552858,105.214,0.93335397066262,34.0718911917098,0.049893120890238,"t-SNE: trustworthiness difference vs Rtsne","Tabula Muris","openTSNE CUDA"
"USPS","KlugerLab_FItSNE","FIt-SNE CPU (4 threads)","cpu",18.494,0.9449273132301,12.193,0.942293985330073,0.659294906456148,0.00263332790002702,"t-SNE: trustworthiness difference vs Rtsne","USPS","FIt-SNE CPU4"
"USPS","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE CPU (4 threads)","cpu",12.508,0.948599271936974,12.193,0.942293985330073,0.974816117684682,0.006305286606901,"t-SNE: trustworthiness difference vs Rtsne","USPS","openTSNE CPU4"
"USPS","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE CUDA","cuda",0.767,0.954678663406683,12.193,0.942293985330073,15.897001303781,0.0123846780766099,"t-SNE: trustworthiness difference vs Rtsne","USPS","openTSNE CUDA"
"flow18","KlugerLab_FItSNE","FIt-SNE CPU (4 threads)","cpu",464.383,0.974468740515933,1925.527,0.77698406676783,4.14642008859067,0.197484673748103,"t-SNE: trustworthiness difference vs Rtsne","flow18","FIt-SNE CPU4"
"flow18","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE CPU (4 threads)","cpu",356.27,0.975126740853145,1925.527,0.77698406676783,5.40468464928285,0.198142674085315,"t-SNE: trustworthiness difference vs Rtsne","flow18","openTSNE CPU4"
"flow18","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE CUDA","cuda",5.471,0.977266885853988,1925.527,0.77698406676783,351.951562785597,0.200282819086158,"t-SNE: trustworthiness difference vs Rtsne","flow18","openTSNE CUDA"
