"dataset","method","backend","requested_threads","seed_a","seed_b","rmsd","correlation","neighbor_stability_15","suite","profile","source_file"
"COIL20","fastEmbedR_opentsne_cpu_full","cpu",1,4,17,0.00304334714442335,0.993331387474142,0.959490740740741,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_full","cpu",1,4,42,0.00365950521597315,0.990357775533471,0.955833333333333,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_full","cpu",1,17,42,0.00248600759583011,0.995550231688102,0.95962962962963,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_landmark","cpu",1,4,17,0.00874726512579716,0.944909454029689,0.474444444444444,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_landmark","cpu",1,4,42,0.0118201752326651,0.899404089377745,0.478472222222222,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_landmark","cpu",1,17,42,0.0102746449245136,0.92399080360612,0.468055555555556,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_umap_cpu_binary_full","cpu",1,4,17,0.0173661647764214,0.78285975108989,0.71662037037037,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_umap_cpu_binary_full","cpu",1,4,42,0.0267670908164571,0.484136451440946,0.688333333333333,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_umap_cpu_binary_full","cpu",1,17,42,0.0265421966623589,0.4927684933624,0.710277777777778,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_umap_cpu_binary_landmark","cpu",1,4,17,0.0225058720811188,0.635309719745187,0.0916666666666667,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_umap_cpu_binary_landmark","cpu",1,4,42,0.0191651803555674,0.735541020595772,0.0891666666666667,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_umap_cpu_binary_landmark","cpu",1,17,42,0.0195160874763595,0.72576807732286,0.0917592592592593,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu1/20260726_110344_1117497/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_full","cpu",4,4,17,0.00262793878076215,0.995027635190488,0.953518518518519,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu4/20260726_105406_1117508/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_full","cpu",4,4,42,0.00231572570077623,0.99613893842471,0.963148148148148,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu4/20260726_105406_1117508/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_full","cpu",4,17,42,0.00237694875567397,0.995932082521288,0.972916666666667,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu4/20260726_105406_1117508/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_landmark","cpu",4,4,17,0.00934387161553031,0.93713828552739,0.472638888888889,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu4/20260726_105406_1117508/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_landmark","cpu",4,4,42,0.0143583820900414,0.851562541904592,0.447407407407407,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu4/20260726_105406_1117508/stability_pairwise.csv"
"COIL20","fastEmbedR_opentsne_cpu_landmark","cpu",4,17,42,0.0116625207877327,0.902069638390506,0.457407407407407,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu4/20260726_105406_1117508/stability_pairwise.csv"
"COIL20","fastEmbedR_umap_cpu_binary_full","cpu",4,4,17,0.0244725994794392,0.568786149797646,0.547175925925926,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu4/20260726_105406_1117508/stability_pairwise.csv"
"COIL20","fastEmbedR_umap_cpu_binary_full","cpu",4,4,42,0.0258115929428848,0.520308402220592,0.587083333333333,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/landmark/cpu4/20260726_105406_1117508/stability_pairwise.csv"
