"dataset","graph_mode","reference","edge_jaccard","weight_pearson","weight_spearman","weight_l1_similarity","validation_sample_n","suite","profile","source_file"
"COIL20","fuzzy","uwot::similarity_graph",1,0.99998850706552,0.999979701547712,0,1440,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu1/20260721_084502_1071167/umap_graph_agreement_vs_uwot.csv"
"COIL20","binary","uwot::similarity_graph",1,,,1,1440,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu1/20260721_084502_1071167/umap_graph_agreement_vs_uwot.csv"
"COIL20","fuzzy","uwot::similarity_graph",1,0.99998850706552,0.999979701547712,0,1440,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/umap_graph_agreement_vs_uwot.csv"
"COIL20","binary","uwot::similarity_graph",1,,,1,1440,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/COIL20/standard/cpu4/20260721_084502_1071178/umap_graph_agreement_vs_uwot.csv"
"FashionMNIST","fuzzy","uwot::similarity_graph",1,0.999990668337895,0.999976692594334,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu1/20260721_084502_1071168/umap_graph_agreement_vs_uwot.csv"
"FashionMNIST","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu1/20260721_084502_1071168/umap_graph_agreement_vs_uwot.csv"
"FashionMNIST","fuzzy","uwot::similarity_graph",1,0.999990668337895,0.999976692594334,0,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/umap_graph_agreement_vs_uwot.csv"
"FashionMNIST","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/umap_graph_agreement_vs_uwot.csv"
"FlowRepository_FR-FCM-ZYRM_files","fuzzy","uwot::similarity_graph",1,0.99999072619696,0.999976030580042,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cpu1/20260721_084502_1071170/umap_graph_agreement_vs_uwot.csv"
"FlowRepository_FR-FCM-ZYRM_files","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cpu1/20260721_084502_1071170/umap_graph_agreement_vs_uwot.csv"
"MNIST","fuzzy","uwot::similarity_graph",1,0.999990487052387,0.999977130031051,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu1/20260721_084502_1071175/umap_graph_agreement_vs_uwot.csv"
"MNIST","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu1/20260721_084502_1071175/umap_graph_agreement_vs_uwot.csv"
"MNIST","fuzzy","uwot::similarity_graph",1,0.999990487052387,0.999977130031051,0,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu4/20260721_084502_1071186/umap_graph_agreement_vs_uwot.csv"
"MNIST","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu4/20260721_084502_1071186/umap_graph_agreement_vs_uwot.csv"
"Macosko2015_retina","fuzzy","uwot::similarity_graph",0.999895004304823,0.999990633725507,0.999979747624738,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu1/20260721_084502_1071172/umap_graph_agreement_vs_uwot.csv"
"Macosko2015_retina","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu1/20260721_084502_1071172/umap_graph_agreement_vs_uwot.csv"
"Macosko2015_retina","fuzzy","uwot::similarity_graph",0.999895004304823,0.999990633725507,0.999979747624738,0,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/umap_graph_agreement_vs_uwot.csv"
"Macosko2015_retina","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/umap_graph_agreement_vs_uwot.csv"
"MetRef","fuzzy","uwot::similarity_graph",1,0.99999206364708,0.999981313054629,0,873,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/MetRef/standard/cpu1/20260721_084502_1071174/umap_graph_agreement_vs_uwot.csv"
"MetRef","binary","uwot::similarity_graph",1,,,1,873,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/MetRef/standard/cpu1/20260721_084502_1071174/umap_graph_agreement_vs_uwot.csv"
"MetRef","fuzzy","uwot::similarity_graph",1,0.99999206364708,0.999981313054629,0,873,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/MetRef/standard/cpu4/20260721_084502_1071185/umap_graph_agreement_vs_uwot.csv"
"MetRef","binary","uwot::similarity_graph",1,,,1,873,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/MetRef/standard/cpu4/20260721_084502_1071185/umap_graph_agreement_vs_uwot.csv"
"TabulaMuris","fuzzy","uwot::similarity_graph",0.996350458106832,0.999987547140244,0.999971547241281,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/TabulaMuris/standard/cpu1/20260721_084502_1071176/umap_graph_agreement_vs_uwot.csv"
"TabulaMuris","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/TabulaMuris/standard/cpu1/20260721_084502_1071176/umap_graph_agreement_vs_uwot.csv"
"TabulaMuris","fuzzy","uwot::similarity_graph",0.996350458106832,0.999987547140244,0.999971547241281,0,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/TabulaMuris/standard/cpu4/20260721_084502_1071187/umap_graph_agreement_vs_uwot.csv"
"TabulaMuris","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/TabulaMuris/standard/cpu4/20260721_084502_1071187/umap_graph_agreement_vs_uwot.csv"
"USPS","fuzzy","uwot::similarity_graph",1,0.999989507572057,0.999969834213737,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu1/20260721_084502_1071177/umap_graph_agreement_vs_uwot.csv"
"USPS","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu1/20260721_084502_1071177/umap_graph_agreement_vs_uwot.csv"
"USPS","fuzzy","uwot::similarity_graph",1,0.999989507572057,0.999969834213737,0,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/umap_graph_agreement_vs_uwot.csv"
"USPS","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/umap_graph_agreement_vs_uwot.csv"
"flow18","fuzzy","uwot::similarity_graph",1,0.999989674714312,0.999975645104529,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu1/20260721_084502_1071169/umap_graph_agreement_vs_uwot.csv"
"flow18","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu1/20260721_084502_1071169/umap_graph_agreement_vs_uwot.csv"
"flow18","fuzzy","uwot::similarity_graph",1,0.999989674714312,0.999975645104529,0,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/umap_graph_agreement_vs_uwot.csv"
"flow18","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/umap_graph_agreement_vs_uwot.csv"
"imagenet","fuzzy","uwot::similarity_graph",1,0.999992378372778,0.999980527876626,0,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/imagenet/standard/cpu4/20260721_084502_1071182/umap_graph_agreement_vs_uwot.csv"
"imagenet","binary","uwot::similarity_graph",1,,,1,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/imagenet/standard/cpu4/20260721_084502_1071182/umap_graph_agreement_vs_uwot.csv"
